# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-13T16:58:40
# UUID: cdc75a8b-d247-4834-baba-2af2a496a1bf
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 4282 rows x 26 features
# Positives:   1028 (24.0%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.554951	0.538772	0.547940	0.554951
2	1	0.555758	0.539291	0.547809	0.555758
3	2	0.557341	0.544081	0.547925	0.557341
4	3	0.558252	0.541297	0.547908	0.558252
5	4	0.558820	0.540871	0.547872	0.558820
6	5	0.562255	0.535960	0.548114	0.562255
7	6	0.561150	0.537518	0.549144	0.561150
8	7	0.558566	0.544484	0.549831	0.558566
9	8	0.552099	0.541270	0.550534	0.552099
10	9	0.554832	0.541484	0.550975	0.554832
11	10	0.553368	0.535891	0.551351	0.553368
12	11	0.555952	0.545885	0.551246	0.555952
13	12	0.554235	0.553357	0.550563	0.554235
14	13	0.555967	0.542763	0.549955	0.555967
15	14	0.557760	0.545953	0.549286	0.557760
16	15	0.557252	0.547076	0.548831	0.557252
17	16	0.556012	0.542732	0.548485	0.556012
18	17	0.555146	0.542198	0.548239	0.555146
19	18	0.555549	0.542967	0.548082	0.555549
20	19	0.556729	0.541636	0.547794	0.556729
21	20	0.556355	0.544356	0.547455	0.556355
22	21	0.555504	0.552378	0.547142	0.555504
23	22	0.556355	0.545256	0.546967	0.556355
24	23	0.556908	0.542124	0.546778	0.556908
25	24	0.554324	0.540474	0.546724	0.554324
26	25	0.556146	0.538733	0.546745	0.556146
27	26	0.556281	0.542729	0.546812	0.556281
28	27	0.556146	0.538857	0.546852	0.556146
29	28	0.556266	0.537330	0.546971	0.556266
30	29	0.555937	0.538228	0.547127	0.555937
31	30	0.555355	0.539793	0.547317	0.555355
32	31	0.555683	0.541216	0.547506	0.555683
33	32	0.555325	0.536024	0.547724	0.555325
34	33	0.555310	0.541573	0.547915	0.555310
35	34	0.555385	0.545555	0.548133	0.555385
36	35	0.555190	0.542410	0.548256	0.555190
37	36	0.555041	0.537314	0.548418	0.555041
38	37	0.555355	0.550050	0.548476	0.555355
39	38	0.555220	0.545586	0.548570	0.555220
40	39	0.555146	0.540211	0.548634	0.555146
41	40	0.556460	0.538663	0.548693	0.556460
42	41	0.555370	0.537155	0.548745	0.555370
43	42	0.555997	0.543247	0.548778	0.555997
44	43	0.555190	0.537791	0.548799	0.555190
45	44	0.555355	0.540721	0.548826	0.555355
46	45	0.555056	0.547760	0.548828	0.555056
47	46	0.554951	0.537119	0.548835	0.554951
48	47	0.555340	0.544156	0.548842	0.555340
49	48	0.555639	0.539440	0.548828	0.555639
50	49	0.554712	0.536829	0.548839	0.554712
