# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-22T16:09:56
# UUID: b38db5ea-12f0-4238-b8e2-1485d320e0de
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3618 rows x 26 features
# Positives:   846 (23.4%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.620487	0.528998	0.520317	0.620487
2	1	0.620509	0.531849	0.520295	0.620509
3	2	0.620917	0.541788	0.520259	0.620917
4	3	0.621648	0.525910	0.520139	0.621648
5	4	0.624936	0.533648	0.520012	0.624936
6	5	0.623388	0.539261	0.519991	0.623388
7	6	0.623066	0.534162	0.519982	0.623066
8	7	0.622292	0.541003	0.520081	0.622292
9	8	0.623259	0.534414	0.520239	0.623259
10	9	0.621368	0.527020	0.520368	0.621368
11	10	0.622185	0.531906	0.520508	0.622185
12	11	0.621325	0.529739	0.520630	0.621325
13	12	0.624205	0.531678	0.520719	0.624205
14	13	0.622035	0.528388	0.520827	0.622035
15	14	0.622357	0.532292	0.520936	0.622357
16	15	0.616168	0.527369	0.521022	0.616168
17	16	0.619585	0.529266	0.521027	0.619585
18	17	0.619735	0.534718	0.521021	0.619735
19	18	0.621562	0.535243	0.520977	0.621562
20	19	0.620251	0.535516	0.520909	0.620251
21	20	0.619714	0.533580	0.520851	0.619714
22	21	0.620702	0.529501	0.520762	0.620702
23	22	0.619348	0.538455	0.520706	0.619348
24	23	0.619198	0.528402	0.520617	0.619198
25	24	0.620229	0.534923	0.520590	0.620229
26	25	0.620315	0.532068	0.520613	0.620315
27	26	0.620165	0.531810	0.520593	0.620165
28	27	0.620939	0.530498	0.520621	0.620939
29	28	0.621003	0.535807	0.520689	0.621003
30	29	0.620229	0.527283	0.520792	0.620229
31	30	0.620229	0.531319	0.520829	0.620229
32	31	0.620552	0.534330	0.520840	0.620552
33	32	0.620294	0.526336	0.520879	0.620294
34	33	0.620015	0.541910	0.520935	0.620015
35	34	0.622464	0.521803	0.520983	0.622464
36	35	0.624613	0.532168	0.521042	0.624613
37	36	0.620101	0.526025	0.521095	0.620101
38	37	0.624549	0.525412	0.521120	0.624549
39	38	0.624957	0.526767	0.521148	0.624957
40	39	0.625795	0.531231	0.521159	0.625795
41	40	0.625924	0.533252	0.521201	0.625924
42	41	0.625150	0.540932	0.521209	0.625150
43	42	0.624979	0.547442	0.521223	0.624979
44	43	0.624549	0.517938	0.521234	0.624549
45	44	0.624721	0.519484	0.521242	0.624721
46	45	0.625000	0.539252	0.521229	0.625000
47	46	0.624785	0.522497	0.521205	0.624785
48	47	0.625473	0.527756	0.521233	0.625473
49	48	0.624678	0.535147	0.521233	0.624678
50	49	0.624785	0.527046	0.521230	0.624785
