# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-11T00:13:42
# UUID: 67b6e7c2-5d5d-4c36-9504-480cfabdc8a7
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3612 rows x 31 features
# Positives:   848 (23.5%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 2
#   n_estimators_validation = 2
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.556245	0.544188	0.540214	0.556245
2	1	0.554113	0.543529	0.540300	0.554113
3	2	0.555264	0.541575	0.540236	0.555264
4	3	0.548892	0.538700	0.540400	0.548892
5	4	0.554774	0.540505	0.540432	0.554774
6	5	0.544970	0.539619	0.540922	0.544970
7	6	0.543329	0.535683	0.541723	0.543329
8	7	0.542690	0.550329	0.542134	0.542690
9	8	0.543798	0.540157	0.542535	0.543798
10	9	0.544778	0.539380	0.542863	0.544778
11	10	0.544714	0.538416	0.543211	0.544714
12	11	0.546697	0.536061	0.543496	0.546697
13	12	0.545396	0.539792	0.543580	0.545396
14	13	0.546121	0.530154	0.543959	0.546121
15	14	0.544821	0.539442	0.544432	0.544821
16	15	0.545972	0.531635	0.545143	0.545972
17	16	0.546313	0.535038	0.545888	0.546313
18	17	0.544970	0.528921	0.546884	0.544970
19	18	0.541049	0.534898	0.547928	0.541049
20	19	0.541816	0.535219	0.549072	0.541816
21	20	0.539621	0.530108	0.550335	0.539621
22	21	0.537639	0.532661	0.551423	0.537639
23	22	0.539514	0.533157	0.552444	0.539514
24	23	0.538896	0.535695	0.553295	0.538896
25	24	0.540814	0.538830	0.553865	0.540814
26	25	0.538107	0.537834	0.554336	0.538107
27	26	0.539280	0.543518	0.554262	0.539280
28	27	0.537745	0.534532	0.554154	0.537745
29	28	0.540260	0.545413	0.553645	0.540260
30	29	0.541155	0.532874	0.553191	0.541155
31	30	0.540345	0.533972	0.552805	0.540345
32	31	0.542199	0.537860	0.552439	0.542199
33	32	0.543244	0.539100	0.551969	0.543244
34	33	0.543777	0.528067	0.551566	0.543777
35	34	0.543777	0.544262	0.551303	0.543777
36	35	0.542988	0.534593	0.551127	0.542988
37	36	0.544096	0.538123	0.550946	0.544096
38	37	0.544906	0.536691	0.550785	0.544906
39	38	0.545396	0.531118	0.550670	0.545396
40	39	0.545524	0.528958	0.550681	0.545524
41	40	0.545929	0.541510	0.550661	0.545929
42	41	0.545759	0.545184	0.550592	0.545759
43	42	0.545823	0.542983	0.550549	0.545823
44	43	0.545695	0.540117	0.550495	0.545695
45	44	0.545460	0.543896	0.550433	0.545460
46	45	0.545716	0.539694	0.550443	0.545716
47	46	0.545567	0.531108	0.550399	0.545567
48	47	0.545801	0.533509	0.550426	0.545801
49	48	0.545610	0.535622	0.550431	0.545610
50	49	0.546185	0.524566	0.550409	0.546185
