# metric: mean |SHAP|
rank,feature,value
1,menstruation_today,0.01425392
2,lack_of_sleep_today,0.01121155
3,any_sleep_issue_today,0.00821156
4,exercise_today,0.00685560
5,dow,0.00673074
6,specific_smells_today,0.00660729
7,inappropriate_lighting_today,0.00583739
8,sunlight_today,0.00567629
9,ovulation_today,0.00475996
10,travel_today,0.00435505
11,stress_today,0.00398285
12,weather_change_today,0.00384560
13,noise_today,0.00377786
14,cheese_chocolate_today,0.00338402
15,moderate_exercise_min,0.00313925
16,physical_fatigue_today,0.00250721
17,excessive_smoking_today,0.00247177
18,oversleeping_today,0.00234460
19,no_exercise_today,0.00224007
20,emotional_changes_today,0.00191916
21,irregular_meals_today,0.00183725
22,alcohol_today,0.00179643
23,exercise_as_trigger_today,0.00176782
24,excessive_caffeine_today,0.00147100
25,overeating_today,0.00101415
26,vigorous_exercise_min,0.00036866
