# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-10T22:17:42
# UUID: 3ea35a99-e972-44e9-bfc2-a1aec4b704e6
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3160 rows x 31 features
# Positives:   742 (23.5%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 2
#   n_estimators_validation = 2
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.566842	0.538556	0.543785	0.566842
2	1	0.567679	0.532442	0.543844	0.567679
3	2	0.566981	0.533918	0.543969	0.566981
4	3	0.566311	0.537600	0.544151	0.566311
5	4	0.569522	0.542109	0.544241	0.569522
6	5	0.569299	0.538180	0.544293	0.569299
7	6	0.566172	0.536522	0.544453	0.566172
8	7	0.566562	0.536461	0.544519	0.566562
9	8	0.566172	0.536502	0.544638	0.566172
10	9	0.567288	0.544878	0.544607	0.567288
11	10	0.566283	0.538295	0.544634	0.566283
12	11	0.567037	0.538144	0.544591	0.567037
13	12	0.567037	0.541431	0.544491	0.567037
14	13	0.567707	0.528269	0.544495	0.567707
15	14	0.566144	0.549672	0.544373	0.566144
16	15	0.565892	0.533656	0.544259	0.565892
17	16	0.568852	0.531681	0.544220	0.568852
18	17	0.570388	0.528381	0.544314	0.570388
19	18	0.568768	0.529489	0.544497	0.568768
20	19	0.569131	0.536878	0.544720	0.569131
21	20	0.568545	0.534396	0.544939	0.568545
22	21	0.567568	0.536134	0.545024	0.567568
23	22	0.566618	0.533348	0.545168	0.566618
24	23	0.569438	0.531320	0.545347	0.569438
25	24	0.568712	0.536754	0.545464	0.568712
26	25	0.568238	0.545967	0.545437	0.568238
27	26	0.571700	0.530571	0.545422	0.571700
28	27	0.574213	0.531754	0.545403	0.574213
29	28	0.574408	0.540861	0.545326	0.574408
30	29	0.576614	0.531524	0.545304	0.576614
31	30	0.578736	0.538602	0.545249	0.578736
32	31	0.577898	0.539344	0.545090	0.577898
33	32	0.578568	0.532650	0.544970	0.578568
34	33	0.580076	0.536399	0.544903	0.580076
35	34	0.579462	0.541363	0.544825	0.579462
36	35	0.579797	0.528585	0.544769	0.579797
37	36	0.580746	0.537967	0.544680	0.580746
38	37	0.579825	0.537711	0.544642	0.579825
39	38	0.578568	0.527541	0.544604	0.578568
40	39	0.578652	0.529728	0.544583	0.578652
41	40	0.578959	0.537968	0.544545	0.578959
42	41	0.579210	0.532990	0.544522	0.579210
43	42	0.580076	0.529707	0.544531	0.580076
44	43	0.578736	0.529543	0.544562	0.578736
45	44	0.580327	0.546152	0.544542	0.580327
46	45	0.579406	0.537017	0.544573	0.579406
47	46	0.578764	0.531303	0.544556	0.578764
48	47	0.579797	0.530941	0.544539	0.579797
49	48	0.578959	0.529355	0.544567	0.578959
50	49	0.578094	0.533622	0.544550	0.578094
