# metric: mean |SHAP|
rank,feature,value
1,inappropriate_lighting_today,0.03354522
2,any_sleep_issue_today,0.01520694
3,stress_today,0.01165882
4,lack_of_sleep_today,0.01066911
5,physical_fatigue_today,0.00969178
6,menstruation_today,0.00832475
7,ovulation_today,0.00542364
8,emotional_changes_today,0.00423656
9,no_exercise_today,0.00422883
10,cheese_chocolate_today,0.00408671
11,alcohol_today,0.00408558
12,specific_smells_today,0.00370385
13,exercise_today,0.00332030
14,oversleeping_today,0.00331887
15,moderate_exercise_min,0.00299311
16,excessive_smoking_today,0.00281912
17,overeating_today,0.00277487
18,travel_today,0.00245200
19,exercise_as_trigger_today,0.00235246
20,noise_today,0.00215034
21,sunlight_today,0.00194353
22,weather_change_today,0.00171482
23,irregular_meals_today,0.00163926
24,excessive_caffeine_today,0.00134545
25,dow,0.00077795
26,vigorous_exercise_min,0.00043979
