# metric: mean |SHAP|
rank,feature,value
1,inappropriate_lighting_today,0.04132799
2,menstruation_today,0.01687027
3,any_sleep_issue_today,0.01467326
4,stress_today,0.01320910
5,lack_of_sleep_today,0.01223214
6,physical_fatigue_today,0.01127878
7,emotional_changes_today,0.00501827
8,moderate_exercise_min,0.00491292
9,ovulation_today,0.00484949
10,specific_smells_today,0.00468921
11,exercise_today,0.00467619
12,alcohol_today,0.00401510
13,no_exercise_today,0.00385527
14,cheese_chocolate_today,0.00330114
15,noise_today,0.00301309
16,excessive_smoking_today,0.00297078
17,oversleeping_today,0.00287270
18,irregular_meals_today,0.00245395
19,exercise_as_trigger_today,0.00237381
20,travel_today,0.00217842
21,overeating_today,0.00201523
22,sunlight_today,0.00197531
23,dow,0.00183642
24,weather_change_today,0.00164449
25,excessive_caffeine_today,0.00107812
26,vigorous_exercise_min,0.00046333
