# metric: mean |permutation importance|
rank,feature,value
1,migraine_rate_last7,0.05308180
2,headache_free_streak,0.04932796
3,days_since_last_migraine,0.02970910
4,consecutive_sedentary_days,0.01417051
5,exercise_today,0.01272081
6,migraine_rate_last3,0.01021025
7,consecutive_exercise_days,0.00792531
8,weather_instability_3day,0.00618280
9,specific_smells_today,0.00610119
10,exercise_days_7day,0.00522273
11,recent_weekend_sleep_issues,0.00393625
12,exercise_as_trigger,0.00386905
13,consecutive_stress_days,0.00372984
14,physical_fatigue_today,0.00316820
15,vigorous_exercise_min,0.00297139
16,moderate_exercise_min,0.00272177
17,migraine_yesterday,0.00248176
18,excessive_smoking,0.00186252
19,stress_today,0.00157930
20,consecutive_weather_changes,0.00149290
21,sleep_variability_7day,0.00126728
22,emotional_changes_today,0.00122888
23,recording_gap_flag,0.00111367
24,dow,0.00094566
25,days_since_last_record,0.00089286
26,irregular_meals_today,0.00076805
27,overeating_today,0.00074885
28,sleep_debt_3day,0.00071525
29,excessive_caffeine_today,0.00061444
30,travel_today,0.00058084
31,weather_change_yesterday,0.00041763
32,stress_drop_today,0.00041283
33,any_sleep_issue_today,0.00041283
34,oversleeping_today,0.00037442
35,menstruation_today,0.00033602
36,cheese_chocolate,0.00033602
37,ovulation_today,0.00026882
38,weather_headache_interaction,0.00025442
39,noise_today,0.00021601
40,sunlight,0.00021121
41,lack_of_sleep_today,0.00015361
42,consecutive_trigger_days,0.00011521
43,alcohol_today,0.00008161
44,no_exercise_today,0.00005280
45,weather_change_today,0.00004320
46,sleep_disruption_today,0.00002880
47,exercise_as_trigger_today,0.00000000
48,inappropriate_lighting_today,0.00000000
49,cheese_chocolate_today,0.00000000
50,sunlight_today,0.00000000
51,excessive_smoking_today,0.00000000
52,inappropriate_lighting,0.00000000
