# metric: mean |permutation importance|
rank,feature,value
1,headache_free_streak,0.05472000
2,migraine_rate_last7,0.03753600
3,days_since_last_migraine,0.03365333
4,consecutive_exercise_days,0.02190933
5,menstruation_today,0.02055467
6,migraine_rate_last3,0.01684267
7,consecutive_trigger_days,0.01368533
8,exercise_days_7day,0.01266133
9,exercise_today,0.01200000
10,sleep_debt_3day,0.00855467
11,physical_fatigue_today,0.00715733
12,consecutive_stress_days,0.00649600
13,migraine_yesterday,0.00646400
14,moderate_exercise_min,0.00611200
15,consecutive_sedentary_days,0.00585600
16,any_sleep_issue_today,0.00522667
17,days_since_last_record,0.00472533
18,sleep_variability_7day,0.00443733
19,irregular_meals_today,0.00390400
20,weather_change_today,0.00354133
21,weather_change_yesterday,0.00353067
22,recent_weekend_sleep_issues,0.00257067
23,vigorous_exercise_min,0.00254933
24,stress_today,0.00219733
25,emotional_changes_today,0.00219733
26,stress_drop_today,0.00179200
27,recording_gap_flag,0.00150400
28,overeating_today,0.00128000
29,consecutive_weather_changes,0.00122667
30,specific_smells_today,0.00112000
31,dow,0.00110933
32,sleep_disruption_today,0.00107733
33,oversleeping_today,0.00074667
34,sunlight,0.00053333
35,cheese_chocolate,0.00040533
36,travel_today,0.00038400
37,no_exercise_today,0.00034133
38,exercise_as_trigger,0.00033067
39,noise_today,0.00011733
40,excessive_caffeine_today,0.00006400
41,weather_instability_3day,0.00004267
42,lack_of_sleep_today,0.00004267
43,alcohol_today,0.00003200
44,ovulation_today,0.00000000
45,exercise_as_trigger_today,0.00000000
46,sunlight_today,0.00000000
47,excessive_smoking_today,0.00000000
48,inappropriate_lighting_today,0.00000000
49,weather_headache_interaction,0.00000000
50,cheese_chocolate_today,0.00000000
51,inappropriate_lighting,0.00000000
52,excessive_smoking,0.00000000
