# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-11T00:43:14
# UUID: 125c8fa1-ca4e-477d-8575-36a918cb457d
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3941 rows x 52 features
# Positives:   287 (7.3%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 2
#   n_estimators_validation = 2
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.768824	0.232157	0.224671	0.768824
2	1	0.768540	0.241739	0.224608	0.768540
3	2	0.766368	0.219490	0.224724	0.766368
4	3	0.765706	0.227563	0.224963	0.765706
5	4	0.763864	0.219927	0.225271	0.763864
6	5	0.761360	0.222597	0.225564	0.761360
7	6	0.761171	0.222807	0.225697	0.761171
8	7	0.761360	0.231121	0.225864	0.761360
9	8	0.762494	0.225659	0.225736	0.762494
10	9	0.763911	0.222600	0.225531	0.763911
11	10	0.765234	0.231626	0.225176	0.765234
12	11	0.767454	0.227897	0.224807	0.767454
13	12	0.768635	0.227694	0.224360	0.768635
14	13	0.769580	0.236719	0.223837	0.769580
15	14	0.770335	0.205778	0.223792	0.770335
16	15	0.770902	0.224010	0.223646	0.770902
17	16	0.771611	0.214556	0.223620	0.771611
18	17	0.771894	0.240088	0.223464	0.771894
19	18	0.771469	0.228290	0.223225	0.771469
20	19	0.770713	0.220362	0.223101	0.770713
21	20	0.770713	0.240590	0.222916	0.770713
22	21	0.770477	0.228885	0.222844	0.770477
23	22	0.769863	0.227775	0.222884	0.769863
24	23	0.770052	0.220451	0.222846	0.770052
25	24	0.769532	0.214918	0.222907	0.769532
26	25	0.769627	0.227516	0.222940	0.769627
27	26	0.769296	0.224287	0.223012	0.769296
28	27	0.769627	0.218956	0.223094	0.769627
29	28	0.769674	0.229481	0.223142	0.769674
30	29	0.769249	0.221777	0.223352	0.769249
31	30	0.769107	0.212618	0.223437	0.769107
32	31	0.769060	0.217288	0.223667	0.769060
33	32	0.769249	0.220192	0.223679	0.769249
34	33	0.770241	0.249677	0.223522	0.770241
35	34	0.770477	0.217832	0.223362	0.770477
36	35	0.770761	0.229787	0.223244	0.770761
37	36	0.771044	0.231655	0.223076	0.771044
38	37	0.771091	0.218209	0.222923	0.771091
39	38	0.770949	0.221426	0.222948	0.770949
40	39	0.771233	0.213314	0.222860	0.771233
41	40	0.770855	0.209813	0.222893	0.770855
42	41	0.771280	0.216149	0.222773	0.771280
43	42	0.770997	0.240390	0.222751	0.770997
44	43	0.770949	0.230377	0.222803	0.770949
45	44	0.770997	0.227739	0.222705	0.770997
46	45	0.771044	0.208348	0.222767	0.771044
47	46	0.771138	0.237882	0.222702	0.771138
48	47	0.771233	0.220902	0.222709	0.771233
49	48	0.771044	0.236860	0.222662	0.771044
50	49	0.771186	0.201893	0.222597	0.771186
