# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-11T01:47:34
# UUID: 5b63737a-7d87-4fbb-b202-eb1b446feb23
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 331 rows x 52 features
# Positives:   22 (6.6%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 2
#   n_estimators_validation = 2
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.564516	0.236032	0.252088	0.564516
2	1	0.564516	0.195942	0.252690	0.564516
3	2	0.564516	0.221610	0.254080	0.564516
4	3	0.564516	0.226206	0.254712	0.564516
5	4	0.564516	0.256861	0.254143	0.564516
6	5	0.596774	0.275128	0.252362	0.596774
7	6	0.612903	0.224872	0.250851	0.612903
8	7	0.612903	0.252681	0.249366	0.612903
9	8	0.645161	0.234165	0.248685	0.645161
10	9	0.645161	0.238218	0.248089	0.645161
11	10	0.677419	0.225008	0.248035	0.677419
12	11	0.661290	0.219768	0.247724	0.661290
13	12	0.645161	0.256216	0.247586	0.645161
14	13	0.645161	0.241076	0.246986	0.645161
15	14	0.661290	0.226501	0.246993	0.661290
16	15	0.661290	0.224960	0.247427	0.661290
17	16	0.677419	0.186674	0.247862	0.677419
18	17	0.677419	0.243270	0.248245	0.677419
19	18	0.677419	0.231890	0.249014	0.677419
20	19	0.677419	0.203177	0.250438	0.677419
21	20	0.709677	0.217906	0.251295	0.709677
22	21	0.709677	0.230819	0.252561	0.709677
23	22	0.709677	0.218442	0.253285	0.709677
24	23	0.709677	0.259552	0.254140	0.709677
25	24	0.709677	0.261717	0.254888	0.709677
26	25	0.717742	0.200392	0.255603	0.717742
27	26	0.741935	0.182690	0.255246	0.741935
28	27	0.758065	0.206831	0.254436	0.758065
29	28	0.758065	0.212428	0.255234	0.758065
30	29	0.758065	0.203979	0.254068	0.758065
31	30	0.758065	0.213364	0.253692	0.758065
32	31	0.758065	0.275689	0.254009	0.758065
33	32	0.766129	0.203494	0.253576	0.766129
34	33	0.774194	0.214271	0.252944	0.774194
35	34	0.774194	0.223776	0.254159	0.774194
36	35	0.774194	0.178824	0.255382	0.774194
37	36	0.774194	0.208150	0.256573	0.774194
38	37	0.758065	0.204916	0.257518	0.758065
39	38	0.758065	0.292937	0.257556	0.758065
40	39	0.758065	0.259310	0.257926	0.758065
41	40	0.774194	0.194913	0.258188	0.774194
42	41	0.758065	0.236702	0.258888	0.758065
43	42	0.758065	0.222447	0.258351	0.758065
44	43	0.758065	0.207651	0.258932	0.758065
45	44	0.758065	0.351219	0.258931	0.758065
46	45	0.758065	0.236738	0.258947	0.758065
47	46	0.758065	0.203307	0.258911	0.758065
48	47	0.758065	0.202012	0.259233	0.758065
49	48	0.758065	0.195968	0.259245	0.758065
50	49	0.758065	0.247360	0.258760	0.758065
