# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-11T01:48:24
# UUID: 0dde42c6-fcce-45db-bffe-c55e15d5c5fa
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 1213 rows x 52 features
# Positives:   95 (7.8%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 2
#   n_estimators_validation = 2
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.895833	0.212910	0.154531	0.895833
2	1	0.894841	0.257605	0.154368	0.894841
3	2	0.894841	0.252762	0.154235	0.894841
4	3	0.893849	0.243768	0.154128	0.893849
5	4	0.892857	0.252997	0.154214	0.892857
6	5	0.893849	0.229932	0.154216	0.893849
7	6	0.892857	0.251573	0.154737	0.892857
8	7	0.892857	0.237548	0.155236	0.892857
9	8	0.890873	0.258225	0.157193	0.890873
10	9	0.888889	0.225037	0.158550	0.888889
11	10	0.887401	0.253046	0.159652	0.887401
12	11	0.885913	0.240625	0.160283	0.885913
13	12	0.881944	0.268225	0.161381	0.881944
14	13	0.879960	0.222496	0.161907	0.879960
15	14	0.878968	0.242848	0.162279	0.878968
16	15	0.878968	0.236267	0.162307	0.878968
17	16	0.878968	0.206650	0.162104	0.878968
18	17	0.881944	0.227007	0.161647	0.881944
19	18	0.881944	0.217420	0.161123	0.881944
20	19	0.881944	0.234961	0.160711	0.881944
21	20	0.882937	0.242947	0.160314	0.882937
22	21	0.884921	0.262361	0.160104	0.884921
23	22	0.884921	0.233900	0.160189	0.884921
24	23	0.882937	0.238496	0.160520	0.882937
25	24	0.881944	0.205205	0.160925	0.881944
26	25	0.882937	0.239380	0.161783	0.882937
27	26	0.883929	0.241834	0.162491	0.883929
28	27	0.883929	0.230950	0.162876	0.883929
29	28	0.882937	0.257546	0.162673	0.882937
30	29	0.882937	0.227928	0.162908	0.882937
31	30	0.883929	0.253594	0.163033	0.883929
32	31	0.884425	0.234691	0.163395	0.884425
33	32	0.883929	0.234738	0.164002	0.883929
34	33	0.884425	0.206003	0.163871	0.884425
35	34	0.885913	0.229673	0.163863	0.885913
36	35	0.887897	0.235645	0.163714	0.887897
37	36	0.887897	0.218667	0.163674	0.887897
38	37	0.887897	0.214727	0.163549	0.887897
39	38	0.886905	0.200579	0.163325	0.886905
40	39	0.887897	0.230544	0.163192	0.887897
41	40	0.886409	0.207607	0.163210	0.886409
42	41	0.886905	0.248413	0.162851	0.886905
43	42	0.886905	0.216124	0.162586	0.886905
44	43	0.886905	0.213456	0.162674	0.886905
45	44	0.886905	0.270041	0.162631	0.886905
46	45	0.886905	0.232289	0.162637	0.886905
47	46	0.886905	0.212146	0.162386	0.886905
48	47	0.886905	0.212621	0.162657	0.886905
49	48	0.886905	0.215402	0.162420	0.886905
50	49	0.886905	0.210827	0.162551	0.886905
