# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-11T01:50:04
# UUID: 1ff8b2db-0247-4956-9b01-3ffc43be4449
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 2272 rows x 52 features
# Positives:   164 (7.2%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 2
#   n_estimators_validation = 2
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.754443	0.234732	0.214583	0.754443
2	1	0.754739	0.242211	0.214367	0.754739
3	2	0.757998	0.217588	0.213775	0.757998
4	3	0.758294	0.229314	0.213533	0.758294
5	4	0.759182	0.221601	0.213758	0.759182
6	5	0.757998	0.219245	0.214986	0.757998
7	6	0.758294	0.208402	0.216375	0.758294
8	7	0.758590	0.215735	0.218514	0.758590
9	8	0.758886	0.226973	0.220280	0.758886
10	9	0.760071	0.230410	0.220116	0.760071
11	10	0.760664	0.224472	0.219680	0.760664
12	11	0.760071	0.237953	0.217160	0.760071
13	12	0.761552	0.230145	0.215285	0.761552
14	13	0.763329	0.231259	0.214417	0.763329
15	14	0.761848	0.214085	0.214231	0.761848
16	15	0.761848	0.228408	0.213985	0.761848
17	16	0.760960	0.222285	0.213803	0.760960
18	17	0.761552	0.238299	0.213573	0.761552
19	18	0.761848	0.275385	0.213362	0.761848
20	19	0.761552	0.200862	0.213206	0.761552
21	20	0.761256	0.232165	0.213239	0.761256
22	21	0.760664	0.235349	0.213162	0.760664
23	22	0.760664	0.215370	0.213178	0.760664
24	23	0.759923	0.230927	0.213251	0.759923
25	24	0.760071	0.216639	0.213201	0.760071
26	25	0.759775	0.237956	0.213226	0.759775
27	26	0.759182	0.206339	0.213283	0.759182
28	27	0.758146	0.208794	0.213314	0.758146
29	28	0.757701	0.216369	0.213359	0.757701
30	29	0.757257	0.223975	0.213462	0.757257
31	30	0.756517	0.236630	0.213537	0.756517
32	31	0.756813	0.242261	0.213572	0.756813
33	32	0.756368	0.204756	0.213631	0.756368
34	33	0.756368	0.224594	0.213684	0.756368
35	34	0.756813	0.212174	0.213612	0.756813
36	35	0.756813	0.240726	0.213542	0.756813
37	36	0.756665	0.245335	0.213551	0.756665
38	37	0.756517	0.223451	0.213561	0.756517
39	38	0.756517	0.219180	0.213462	0.756517
40	39	0.756368	0.228715	0.213398	0.756368
41	40	0.756220	0.213953	0.213393	0.756220
42	41	0.756072	0.218960	0.213350	0.756072
43	42	0.755924	0.238931	0.213336	0.755924
44	43	0.756220	0.234538	0.213359	0.756220
45	44	0.756220	0.213976	0.213328	0.756220
46	45	0.756368	0.210294	0.213295	0.756368
47	46	0.756220	0.242672	0.213321	0.756220
48	47	0.756220	0.210991	0.213273	0.756220
49	48	0.756368	0.212003	0.213320	0.756368
50	49	0.755776	0.214032	0.213328	0.755776
