# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-11T01:53:18
# UUID: 00bfc15a-0e0f-4a97-8bd6-b8be4ec7cba7
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3121 rows x 52 features
# Positives:   234 (7.5%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 2
#   n_estimators_validation = 2
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.751166	0.241115	0.226010	0.751166
2	1	0.750790	0.229704	0.225908	0.750790
3	2	0.751692	0.231238	0.225597	0.751692
4	3	0.753723	0.227020	0.224984	0.753723
5	4	0.754626	0.229469	0.224370	0.754626
6	5	0.755980	0.225296	0.223806	0.755980
7	6	0.757409	0.219954	0.223690	0.757409
8	7	0.758162	0.220649	0.223733	0.758162
9	8	0.759139	0.225620	0.223566	0.759139
10	9	0.760193	0.234230	0.223290	0.760193
11	10	0.761246	0.252808	0.222924	0.761246
12	11	0.760945	0.237049	0.222558	0.760945
13	12	0.760644	0.226302	0.222446	0.760644
14	13	0.759892	0.224797	0.222351	0.759892
15	14	0.759741	0.243514	0.222269	0.759741
16	15	0.759967	0.227609	0.222083	0.759967
17	16	0.760117	0.217686	0.222017	0.760117
18	17	0.759816	0.218327	0.222084	0.759816
19	18	0.760268	0.224251	0.222064	0.760268
20	19	0.760042	0.212437	0.222222	0.760042
21	20	0.761095	0.210739	0.222344	0.761095
22	21	0.761547	0.242042	0.222709	0.761547
23	22	0.761095	0.212545	0.223371	0.761095
24	23	0.762374	0.233322	0.224111	0.762374
25	24	0.763578	0.229372	0.224177	0.763578
26	25	0.764179	0.229810	0.224218	0.764179
27	26	0.763728	0.225398	0.224351	0.763728
28	27	0.764255	0.212466	0.224391	0.764255
29	28	0.764330	0.214800	0.224531	0.764330
30	29	0.764555	0.228912	0.224678	0.764555
31	30	0.763878	0.221292	0.224757	0.763878
32	31	0.764179	0.210866	0.224862	0.764179
33	32	0.764480	0.221756	0.224965	0.764480
34	33	0.764631	0.243227	0.225018	0.764631
35	34	0.764555	0.232421	0.225022	0.764555
36	35	0.763954	0.223419	0.224993	0.763954
37	36	0.764179	0.248696	0.224854	0.764179
38	37	0.764179	0.214606	0.224829	0.764179
39	38	0.764405	0.237627	0.224816	0.764405
40	39	0.764104	0.225792	0.224711	0.764104
41	40	0.764255	0.226364	0.224676	0.764255
42	41	0.764255	0.230157	0.224672	0.764255
43	42	0.764104	0.217674	0.224644	0.764104
44	43	0.764405	0.209755	0.224623	0.764405
45	44	0.764330	0.202628	0.224602	0.764330
46	45	0.764555	0.209665	0.224574	0.764555
47	46	0.764480	0.209853	0.224596	0.764480
48	47	0.764405	0.224578	0.224619	0.764405
49	48	0.764405	0.212251	0.224593	0.764405
50	49	0.764405	0.225936	0.224573	0.764405
