# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-13T11:21:28
# UUID: aa966ee8-292b-4664-b2ca-9d7dc3ec4f2a
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3941 rows x 52 features
# Positives:   287 (7.3%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 2
#   n_estimators_validation = 2
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.767501	0.231632	0.224756	0.767501
2	1	0.766273	0.242056	0.224937	0.766273
3	2	0.764620	0.217979	0.225183	0.764620
4	3	0.762966	0.226891	0.225452	0.762966
5	4	0.761171	0.219571	0.225707	0.761171
6	5	0.759754	0.221853	0.225988	0.759754
7	6	0.759424	0.222759	0.226176	0.759424
8	7	0.759093	0.231201	0.226304	0.759093
9	8	0.758762	0.227669	0.226626	0.758762
10	9	0.758668	0.222193	0.226861	0.758668
11	10	0.758196	0.231949	0.226978	0.758196
12	11	0.758148	0.228728	0.226959	0.758148
13	12	0.757865	0.229506	0.226944	0.757865
14	13	0.757912	0.237840	0.226764	0.757912
15	14	0.758337	0.204127	0.226785	0.758337
16	15	0.758007	0.224355	0.226882	0.758007
17	16	0.758337	0.213637	0.227046	0.758337
18	17	0.758762	0.239777	0.227108	0.758762
19	18	0.758951	0.228881	0.227053	0.758951
20	19	0.759140	0.220139	0.227027	0.759140
21	20	0.758904	0.241845	0.226955	0.758904
22	21	0.759376	0.225415	0.226865	0.759376
23	22	0.758951	0.225898	0.226834	0.758951
24	23	0.759093	0.220612	0.226738	0.759093
25	24	0.759424	0.215105	0.226702	0.759424
26	25	0.759424	0.226921	0.226669	0.759424
27	26	0.759754	0.224471	0.226737	0.759754
28	27	0.760274	0.220523	0.226673	0.760274
29	28	0.760179	0.227722	0.226714	0.760179
30	29	0.759849	0.219858	0.226736	0.759849
31	30	0.759991	0.212209	0.226848	0.759991
32	31	0.759754	0.217331	0.226900	0.759754
33	32	0.759849	0.219848	0.227128	0.759849
34	33	0.759754	0.248525	0.227204	0.759754
35	34	0.759140	0.220060	0.227320	0.759140
36	35	0.758999	0.228596	0.227570	0.758999
37	36	0.759424	0.232383	0.227576	0.759424
38	37	0.759518	0.218590	0.227293	0.759518
39	38	0.759518	0.222327	0.227158	0.759518
40	39	0.759565	0.214072	0.227071	0.759565
41	40	0.759660	0.209904	0.226867	0.759660
42	41	0.759471	0.215294	0.226819	0.759471
43	42	0.759613	0.237208	0.226825	0.759613
44	43	0.759565	0.230239	0.226749	0.759565
45	44	0.759518	0.227879	0.226707	0.759518
46	45	0.759424	0.210278	0.226709	0.759424
47	46	0.759707	0.238118	0.226636	0.759707
48	47	0.759565	0.221772	0.226679	0.759565
49	48	0.759565	0.237044	0.226598	0.759565
50	49	0.759613	0.202763	0.226582	0.759613
