# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-13T21:31:27
# UUID: 69982adb-60c4-4a57-ba25-bd466548462a
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 331 rows x 52 features
# Positives:   22 (6.6%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.548387	0.234558	0.249356	0.548387
2	1	0.548387	0.199140	0.250071	0.548387
3	2	0.548387	0.220918	0.251511	0.548387
4	3	0.548387	0.228909	0.251500	0.548387
5	4	0.548387	0.251312	0.250889	0.548387
6	5	0.548387	0.264918	0.249413	0.548387
7	6	0.548387	0.209876	0.248250	0.548387
8	7	0.548387	0.235006	0.247336	0.548387
9	8	0.548387	0.240758	0.246335	0.548387
10	9	0.548387	0.228311	0.245573	0.548387
11	10	0.548387	0.232919	0.244821	0.548387
12	11	0.564516	0.217208	0.244833	0.564516
13	12	0.564516	0.247598	0.245057	0.564516
14	13	0.548387	0.237821	0.245236	0.548387
15	14	0.532258	0.223232	0.245623	0.532258
16	15	0.548387	0.212579	0.246003	0.548387
17	16	0.548387	0.199965	0.246864	0.548387
18	17	0.548387	0.247302	0.247402	0.548387
19	18	0.548387	0.224130	0.248004	0.548387
20	19	0.548387	0.197449	0.248962	0.548387
21	20	0.564516	0.221784	0.250335	0.564516
22	21	0.580645	0.228568	0.251483	0.580645
23	22	0.580645	0.218663	0.253092	0.580645
24	23	0.580645	0.276488	0.253868	0.580645
25	24	0.580645	0.262160	0.254338	0.580645
26	25	0.580645	0.220917	0.255115	0.580645
27	26	0.580645	0.181198	0.256026	0.580645
28	27	0.580645	0.221373	0.257020	0.580645
29	28	0.580645	0.209411	0.257928	0.580645
30	29	0.580645	0.221122	0.258962	0.580645
31	30	0.580645	0.221419	0.259823	0.580645
32	31	0.596774	0.256037	0.260396	0.596774
33	32	0.596774	0.200670	0.260987	0.596774
34	33	0.580645	0.218876	0.261424	0.580645
35	34	0.580645	0.228142	0.261956	0.580645
36	35	0.580645	0.191565	0.262391	0.580645
37	36	0.580645	0.202558	0.262686	0.580645
38	37	0.596774	0.189280	0.263322	0.596774
39	38	0.596774	0.314740	0.263401	0.596774
40	39	0.596774	0.255646	0.263329	0.596774
41	40	0.596774	0.191246	0.263627	0.596774
42	41	0.596774	0.243227	0.263756	0.596774
43	42	0.596774	0.216520	0.263719	0.596774
44	43	0.596774	0.211905	0.263650	0.596774
45	44	0.596774	0.283050	0.263890	0.596774
46	45	0.596774	0.244497	0.263880	0.596774
47	46	0.596774	0.203282	0.263748	0.596774
48	47	0.596774	0.187605	0.263833	0.596774
49	48	0.596774	0.197438	0.263822	0.596774
50	49	0.596774	0.223186	0.263701	0.596774
