# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-13T21:34:16
# UUID: 5a13e009-95b0-443b-ab25-f422b4c17fe7
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 1213 rows x 52 features
# Positives:   95 (7.8%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.890873	0.215660	0.157162	0.890873
2	1	0.890873	0.259618	0.157029	0.890873
3	2	0.890873	0.256649	0.157072	0.890873
4	3	0.891865	0.248840	0.157036	0.891865
5	4	0.889881	0.252308	0.157176	0.889881
6	5	0.889881	0.235821	0.157242	0.889881
7	6	0.888889	0.252987	0.157572	0.888889
8	7	0.887897	0.239397	0.158034	0.887897
9	8	0.885913	0.257690	0.158755	0.885913
10	9	0.884921	0.223376	0.159137	0.884921
11	10	0.884921	0.252032	0.159632	0.884921
12	11	0.883929	0.245315	0.159847	0.883929
13	12	0.883929	0.267701	0.160653	0.883929
14	13	0.881944	0.226037	0.161117	0.881944
15	14	0.881944	0.246367	0.161483	0.881944
16	15	0.881944	0.235281	0.161644	0.881944
17	16	0.881944	0.212160	0.161414	0.881944
18	17	0.881944	0.227539	0.160787	0.881944
19	18	0.881944	0.223669	0.160146	0.881944
20	19	0.882937	0.235894	0.159517	0.882937
21	20	0.883433	0.247584	0.158947	0.883433
22	21	0.881944	0.262570	0.158497	0.881944
23	22	0.881944	0.237254	0.158030	0.881944
24	23	0.882937	0.240956	0.157697	0.882937
25	24	0.882937	0.211661	0.157284	0.882937
26	25	0.881944	0.245102	0.156900	0.881944
27	26	0.882440	0.243458	0.156584	0.882440
28	27	0.881944	0.233346	0.156316	0.881944
29	28	0.881944	0.253962	0.156150	0.881944
30	29	0.880952	0.232430	0.155987	0.880952
31	30	0.880952	0.252407	0.156036	0.880952
32	31	0.880952	0.238200	0.155998	0.880952
33	32	0.881448	0.239613	0.155959	0.881448
34	33	0.881944	0.210256	0.155897	0.881944
35	34	0.882937	0.233913	0.155797	0.882937
36	35	0.882937	0.234175	0.155764	0.882937
37	36	0.882937	0.225899	0.155708	0.882937
38	37	0.883929	0.222485	0.155530	0.883929
39	38	0.884921	0.203039	0.155499	0.884921
40	39	0.884921	0.234576	0.155394	0.884921
41	40	0.884921	0.207329	0.155283	0.884921
42	41	0.884921	0.250330	0.155274	0.884921
43	42	0.884921	0.216656	0.155219	0.884921
44	43	0.884921	0.219314	0.155081	0.884921
45	44	0.884921	0.268220	0.155157	0.884921
46	45	0.884921	0.235841	0.155208	0.884921
47	46	0.884921	0.215897	0.155067	0.884921
48	47	0.884921	0.215117	0.155114	0.884921
49	48	0.884921	0.222574	0.155159	0.884921
50	49	0.884921	0.219108	0.155143	0.884921
