# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-13T21:40:46
# UUID: a332f35d-f401-4d78-a974-4997370af9fb
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 2272 rows x 52 features
# Positives:   164 (7.2%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.749111	0.233932	0.216238	0.749111
2	1	0.749704	0.243912	0.215961	0.749704
3	2	0.750889	0.220018	0.215521	0.750889
4	3	0.752073	0.225922	0.215144	0.752073
5	4	0.752073	0.222642	0.214788	0.752073
6	5	0.753999	0.215639	0.214315	0.753999
7	6	0.753851	0.209409	0.214250	0.753851
8	7	0.751925	0.216079	0.214579	0.751925
9	8	0.750296	0.228927	0.214822	0.750296
10	9	0.749704	0.229672	0.214858	0.749704
11	10	0.750592	0.220476	0.214825	0.750592
12	11	0.750148	0.230195	0.214839	0.750148
13	12	0.751037	0.222833	0.214660	0.751037
14	13	0.750889	0.227496	0.214595	0.750889
15	14	0.750889	0.211871	0.214626	0.750889
16	15	0.750741	0.229568	0.214687	0.750741
17	16	0.750592	0.220327	0.214790	0.750592
18	17	0.747038	0.238777	0.215189	0.747038
19	18	0.746742	0.267004	0.215741	0.746742
20	19	0.746149	0.199737	0.216215	0.746149
21	20	0.745853	0.232662	0.215765	0.745853
22	21	0.743632	0.232505	0.216632	0.743632
23	22	0.732820	0.216820	0.219782	0.732820
24	23	0.724526	0.226422	0.222621	0.724526
25	24	0.724526	0.231066	0.222621	0.724526
26	25	0.736226	0.250358	0.218382	0.736226
27	26	0.745557	0.210945	0.215966	0.745557
28	27	0.746742	0.209057	0.215223	0.746742
29	28	0.746594	0.217655	0.214925	0.746594
30	29	0.748223	0.226640	0.214978	0.748223
31	30	0.748075	0.235901	0.214967	0.748075
32	31	0.748075	0.241347	0.214842	0.748075
33	32	0.748223	0.204595	0.214753	0.748223
34	33	0.749111	0.228046	0.214577	0.749111
35	34	0.747927	0.211610	0.214526	0.747927
36	35	0.747927	0.239194	0.214494	0.747927
37	36	0.746594	0.242536	0.214472	0.746594
38	37	0.746445	0.222595	0.214395	0.746445
39	38	0.746594	0.220558	0.214375	0.746594
40	39	0.747334	0.225903	0.214287	0.747334
41	40	0.747927	0.213962	0.214245	0.747927
42	41	0.747630	0.217191	0.214176	0.747630
43	42	0.747927	0.240358	0.214208	0.747927
44	43	0.747927	0.233241	0.214182	0.747927
45	44	0.748519	0.214813	0.214191	0.748519
46	45	0.748667	0.209310	0.214187	0.748667
47	46	0.748815	0.242352	0.214152	0.748815
48	47	0.748815	0.211999	0.214150	0.748815
49	48	0.748815	0.214011	0.214164	0.748815
50	49	0.748815	0.215230	0.214166	0.748815
