# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-22T16:25:28
# UUID: 69cb048d-7196-40eb-9a4f-62da0cf355f3
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3229 rows x 52 features
# Positives:   226 (7.0%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.777883	0.212246	0.213600	0.777883
2	1	0.775338	0.219323	0.213902	0.775338
3	2	0.774684	0.204193	0.214087	0.774684
4	3	0.774102	0.222219	0.214279	0.774102
5	4	0.775193	0.200308	0.214377	0.775193
6	5	0.775483	0.235495	0.214527	0.775483
7	6	0.774466	0.204218	0.214418	0.774466
8	7	0.774684	0.215628	0.214222	0.774684
9	8	0.774102	0.190566	0.214111	0.774102
10	9	0.772866	0.193016	0.214232	0.772866
11	10	0.771703	0.220218	0.214408	0.771703
12	11	0.768867	0.217957	0.214443	0.768867
13	12	0.769085	0.216657	0.214385	0.769085
14	13	0.769231	0.212731	0.214250	0.769231
15	14	0.768504	0.218528	0.214166	0.768504
16	15	0.768504	0.200889	0.213963	0.768504
17	16	0.768213	0.214031	0.213965	0.768213
18	17	0.768358	0.208433	0.213957	0.768358
19	18	0.768722	0.218039	0.213826	0.768722
20	19	0.767995	0.244386	0.213647	0.767995
21	20	0.767995	0.229171	0.213434	0.767995
22	21	0.767413	0.192993	0.213350	0.767413
23	22	0.766468	0.183109	0.213436	0.766468
24	23	0.766468	0.199536	0.213628	0.766468
25	24	0.766541	0.218240	0.213753	0.766541
26	25	0.766032	0.208661	0.213896	0.766032
27	26	0.764796	0.211269	0.214024	0.764796
28	27	0.764650	0.227002	0.214125	0.764650
29	28	0.764578	0.183888	0.214267	0.764578
30	29	0.763705	0.209923	0.214487	0.763705
31	30	0.763705	0.200143	0.214657	0.763705
32	31	0.763269	0.198505	0.214848	0.763269
33	32	0.763560	0.206911	0.214987	0.763560
34	33	0.763560	0.172906	0.215212	0.763560
35	34	0.763778	0.219187	0.215335	0.763778
36	35	0.763560	0.217159	0.215422	0.763560
37	36	0.763560	0.204907	0.215513	0.763560
38	37	0.763560	0.203784	0.215502	0.763560
39	38	0.763705	0.249881	0.215497	0.763705
40	39	0.763560	0.210495	0.215491	0.763560
41	40	0.763560	0.201246	0.215526	0.763560
42	41	0.763632	0.205229	0.215473	0.763632
43	42	0.763487	0.209426	0.215500	0.763487
44	43	0.763560	0.204111	0.215461	0.763560
45	44	0.763778	0.239234	0.215472	0.763778
46	45	0.763560	0.215408	0.215427	0.763560
47	46	0.763414	0.204730	0.215456	0.763414
48	47	0.763778	0.206973	0.215425	0.763778
49	48	0.763705	0.200828	0.215441	0.763705
50	49	0.763632	0.208858	0.215404	0.763632
