# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-11T00:46:17
# UUID: 24ebb6db-58b2-4e76-b9b4-b1e1d0d5c549
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3160 rows x 52 features
# Positives:   227 (7.2%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 2
#   n_estimators_validation = 2
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.753673	0.228284	0.231512	0.753673
2	1	0.754563	0.222556	0.231429	0.754563
3	2	0.754415	0.256843	0.231217	0.754415
4	3	0.754192	0.241456	0.230921	0.754192
5	4	0.754266	0.242618	0.230639	0.754266
6	5	0.754489	0.244974	0.230313	0.754489
7	6	0.754563	0.221793	0.230155	0.754563
8	7	0.754860	0.239378	0.229954	0.754860
9	8	0.754711	0.224411	0.229888	0.754711
10	9	0.754118	0.228955	0.229970	0.754118
11	10	0.753821	0.221006	0.230098	0.753821
12	11	0.753747	0.219692	0.230321	0.753747
13	12	0.753673	0.225784	0.230530	0.753673
14	13	0.753673	0.215979	0.230816	0.753673
15	14	0.754489	0.222139	0.231094	0.754489
16	15	0.754563	0.215616	0.231349	0.754563
17	16	0.756047	0.222429	0.231528	0.756047
18	17	0.755453	0.232238	0.231783	0.755453
19	18	0.755750	0.219979	0.231818	0.755750
20	19	0.755824	0.227535	0.231808	0.755824
21	20	0.756195	0.223608	0.231799	0.756195
22	21	0.756344	0.217227	0.231742	0.756344
23	22	0.757382	0.229931	0.231612	0.757382
24	23	0.757679	0.220613	0.231543	0.757679
25	24	0.758124	0.218271	0.231492	0.758124
26	25	0.758347	0.217430	0.231405	0.758347
27	26	0.759237	0.220035	0.231304	0.759237
28	27	0.759237	0.210915	0.231271	0.759237
29	28	0.759682	0.221533	0.231243	0.759682
30	29	0.759905	0.226942	0.231322	0.759905
31	30	0.760350	0.238779	0.231341	0.760350
32	31	0.760350	0.225578	0.231319	0.760350
33	32	0.760350	0.232227	0.231294	0.760350
34	33	0.759979	0.224495	0.231383	0.759979
35	34	0.759831	0.250150	0.231392	0.759831
36	35	0.759757	0.223426	0.231334	0.759757
37	36	0.759979	0.217590	0.231336	0.759979
38	37	0.759682	0.212855	0.231341	0.759682
39	38	0.759608	0.229559	0.231326	0.759608
40	39	0.759682	0.221635	0.231321	0.759682
41	40	0.759460	0.230957	0.231327	0.759460
42	41	0.760053	0.219921	0.231264	0.760053
43	42	0.760128	0.220739	0.231239	0.760128
44	43	0.759757	0.220888	0.231212	0.759757
45	44	0.760053	0.226384	0.231177	0.760053
46	45	0.759905	0.239087	0.231194	0.759905
47	46	0.759979	0.217215	0.231183	0.759979
48	47	0.759757	0.222930	0.231167	0.759757
49	48	0.759608	0.212363	0.231187	0.759608
50	49	0.759608	0.217531	0.231185	0.759608
