# metric: mean |SHAP|
rank,feature,value
1,menstruation_today,0.01997021
2,migraine_rate_last7,0.01549997
3,days_since_last_migraine,0.01300782
4,headache_free_streak,0.00828172
5,migraine_rate_last3,0.00693246
6,inappropriate_lighting_today,0.00559656
7,inappropriate_lighting,0.00480534
8,consecutive_sedentary_days,0.00292121
9,sleep_variability_7day,0.00276470
10,exercise_days_7day,0.00245946
11,overeating_today,0.00215851
12,cheese_chocolate_today,0.00198754
13,sleep_disruption_today,0.00195392
14,ovulation_today,0.00193286
15,consecutive_stress_days,0.00191827
16,stress_drop_today,0.00187949
17,excessive_smoking_today,0.00177755
18,weather_instability_3day,0.00171610
19,oversleeping_today,0.00157240
20,migraine_yesterday,0.00137154
21,stress_today,0.00129240
22,cheese_chocolate,0.00121545
23,weather_change_today,0.00119270
24,any_sleep_issue_today,0.00119193
25,irregular_meals_today,0.00113800
26,weather_change_yesterday,0.00104371
27,sunlight,0.00103424
28,exercise_today,0.00100405
29,excessive_caffeine_today,0.00098625
30,recent_weekend_sleep_issues,0.00096937
31,consecutive_trigger_days,0.00092091
32,lack_of_sleep_today,0.00091506
33,travel_today,0.00080429
34,sleep_debt_3day,0.00079089
35,no_exercise_today,0.00077144
36,exercise_as_trigger,0.00074407
37,consecutive_weather_changes,0.00073249
38,recording_gap_flag,0.00069054
39,vigorous_exercise_min,0.00068609
40,specific_smells_today,0.00068349
41,dow,0.00063609
42,consecutive_exercise_days,0.00049903
43,moderate_exercise_min,0.00047372
44,sunlight_today,0.00046183
45,emotional_changes_today,0.00037947
46,weather_headache_interaction,0.00034575
47,exercise_as_trigger_today,0.00033054
48,physical_fatigue_today,0.00030444
49,excessive_smoking,0.00025359
50,alcohol_today,0.00021351
51,noise_today,0.00020643
52,days_since_last_record,0.00018328
