# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-13T18:57:45
# UUID: 0e34c58a-ecdb-40fd-a5b8-2d03dabbf550
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3941 rows x 52 features
# Positives:   287 (7.3%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.764431	0.231259	0.225529	0.764431
2	1	0.763911	0.241921	0.225484	0.763911
3	2	0.762541	0.217649	0.225552	0.762541
4	3	0.760983	0.230236	0.225617	0.760983
5	4	0.759802	0.219603	0.225872	0.759802
6	5	0.759329	0.221832	0.226227	0.759329
7	6	0.759046	0.222412	0.226533	0.759046
8	7	0.758432	0.231281	0.226739	0.758432
9	8	0.758951	0.227008	0.226778	0.758951
10	9	0.758668	0.223409	0.227010	0.758668
11	10	0.758715	0.232770	0.227030	0.758715
12	11	0.759046	0.228378	0.226979	0.759046
13	12	0.759471	0.229054	0.226844	0.759471
14	13	0.759943	0.238415	0.226499	0.759943
15	14	0.759991	0.205385	0.226378	0.759991
16	15	0.760038	0.224817	0.226377	0.760038
17	16	0.760463	0.214876	0.226535	0.760463
18	17	0.760274	0.240485	0.226560	0.760274
19	18	0.760605	0.229559	0.226423	0.760605
20	19	0.760746	0.221076	0.226317	0.760746
21	20	0.761030	0.242384	0.226106	0.761030
22	21	0.761124	0.227606	0.226022	0.761124
23	22	0.760841	0.227499	0.225919	0.760841
24	23	0.761219	0.220654	0.225831	0.761219
25	24	0.761266	0.216840	0.225822	0.761266
26	25	0.761030	0.228339	0.225776	0.761030
27	26	0.760794	0.225406	0.225725	0.760794
28	27	0.760983	0.221899	0.225661	0.760983
29	28	0.761077	0.229444	0.225592	0.761077
30	29	0.761171	0.222946	0.225582	0.761171
31	30	0.761124	0.213635	0.225527	0.761124
32	31	0.761408	0.218900	0.225444	0.761408
33	32	0.761455	0.221997	0.225403	0.761455
34	33	0.761644	0.250562	0.225269	0.761644
35	34	0.761833	0.218685	0.225161	0.761833
36	35	0.762069	0.230988	0.225082	0.762069
37	36	0.762305	0.233166	0.224969	0.762305
38	37	0.762116	0.218354	0.224917	0.762116
39	38	0.762022	0.222698	0.224885	0.762022
40	39	0.762211	0.216418	0.224807	0.762211
41	40	0.762211	0.211310	0.224793	0.762211
42	41	0.762305	0.217438	0.224771	0.762305
43	42	0.762305	0.238519	0.224779	0.762305
44	43	0.762447	0.231517	0.224773	0.762447
45	44	0.762400	0.228681	0.224754	0.762400
46	45	0.762447	0.211223	0.224749	0.762447
47	46	0.762541	0.237840	0.224762	0.762541
48	47	0.762494	0.223430	0.224747	0.762494
49	48	0.762589	0.237871	0.224748	0.762589
50	49	0.762494	0.204605	0.224740	0.762494
