# metric: mean |SHAP|
rank,feature,value
1,menstruation_today,0.01953309
2,headache_free_streak,0.01790087
3,days_since_last_migraine,0.01674764
4,migraine_rate_last7,0.01645441
5,inappropriate_lighting,0.00971278
6,migraine_rate_last3,0.00829529
7,sleep_variability_7day,0.00334363
8,excessive_smoking_today,0.00240174
9,exercise_days_7day,0.00225373
10,cheese_chocolate,0.00217018
11,sleep_disruption_today,0.00212962
12,consecutive_sedentary_days,0.00207136
13,stress_drop_today,0.00205107
14,inappropriate_lighting_today,0.00198548
15,consecutive_stress_days,0.00194046
16,overeating_today,0.00191463
17,ovulation_today,0.00160391
18,migraine_yesterday,0.00153756
19,any_sleep_issue_today,0.00146797
20,cheese_chocolate_today,0.00127721
21,stress_today,0.00123425
22,weather_change_today,0.00119401
23,excessive_smoking,0.00117650
24,recording_gap_flag,0.00115640
25,excessive_caffeine_today,0.00113368
26,sunlight,0.00109442
27,irregular_meals_today,0.00108585
28,lack_of_sleep_today,0.00099761
29,sleep_debt_3day,0.00099607
30,oversleeping_today,0.00095501
31,recent_weekend_sleep_issues,0.00093425
32,specific_smells_today,0.00085162
33,dow,0.00084575
34,travel_today,0.00077452
35,exercise_as_trigger,0.00073624
36,consecutive_weather_changes,0.00073345
37,consecutive_trigger_days,0.00066395
38,no_exercise_today,0.00061944
39,weather_change_yesterday,0.00058217
40,moderate_exercise_min,0.00051424
41,weather_headache_interaction,0.00045126
42,vigorous_exercise_min,0.00042625
43,weather_instability_3day,0.00041499
44,physical_fatigue_today,0.00040495
45,exercise_today,0.00038980
46,consecutive_exercise_days,0.00037563
47,emotional_changes_today,0.00034768
48,exercise_as_trigger_today,0.00029555
49,noise_today,0.00025745
50,sunlight_today,0.00022587
51,days_since_last_record,0.00022277
52,alcohol_today,0.00020062
