# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-13T19:09:27
# UUID: 2d7eefc4-b606-4c8b-9604-16fbc74d74f6
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3161 rows x 52 features
# Positives:   227 (7.2%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.735050	0.232704	0.226681	0.735050
2	1	0.734827	0.209004	0.226520	0.734827
3	2	0.734530	0.206247	0.226360	0.734530
4	3	0.733788	0.212544	0.226557	0.733788
5	4	0.734382	0.221045	0.226304	0.734382
6	5	0.733121	0.219810	0.225676	0.733121
7	6	0.732304	0.224381	0.224907	0.732304
8	7	0.731859	0.220474	0.224479	0.731859
9	8	0.731043	0.211659	0.224290	0.731043
10	9	0.730227	0.211896	0.224258	0.730227
11	10	0.729856	0.214631	0.224190	0.729856
12	11	0.729411	0.189643	0.224546	0.729411
13	12	0.728892	0.226107	0.224727	0.728892
14	13	0.728966	0.209089	0.224915	0.728966
15	14	0.728892	0.218915	0.225138	0.728892
16	15	0.728743	0.218279	0.225241	0.728743
17	16	0.728298	0.210823	0.225380	0.728298
18	17	0.728150	0.212142	0.225397	0.728150
19	18	0.728966	0.218371	0.225180	0.728966
20	19	0.729559	0.224874	0.224980	0.729559
21	20	0.729708	0.221912	0.224638	0.729708
22	21	0.730375	0.207454	0.224351	0.730375
23	22	0.729633	0.212546	0.224209	0.729633
24	23	0.729930	0.214716	0.224026	0.729930
25	24	0.729782	0.226147	0.223886	0.729782
26	25	0.729782	0.211789	0.223782	0.729782
27	26	0.729708	0.231186	0.223635	0.729708
28	27	0.730079	0.214633	0.223534	0.730079
29	28	0.730153	0.213032	0.223522	0.730153
30	29	0.730153	0.206174	0.223605	0.730153
31	30	0.730227	0.227279	0.223600	0.730227
32	31	0.730079	0.232632	0.223451	0.730079
33	32	0.729930	0.216428	0.223391	0.729930
34	33	0.729930	0.222907	0.223247	0.729930
35	34	0.730004	0.209876	0.223193	0.730004
36	35	0.730598	0.221968	0.223132	0.730598
37	36	0.730672	0.241491	0.222975	0.730672
38	37	0.730746	0.229822	0.222830	0.730746
39	38	0.730598	0.208803	0.222729	0.730598
40	39	0.730672	0.210452	0.222692	0.730672
41	40	0.731117	0.222277	0.222686	0.731117
42	41	0.731043	0.221840	0.222680	0.731043
43	42	0.731192	0.203883	0.222666	0.731192
44	43	0.731266	0.214434	0.222664	0.731266
45	44	0.731266	0.190194	0.222672	0.731266
46	45	0.730969	0.209291	0.222698	0.730969
47	46	0.731117	0.220361	0.222725	0.731117
48	47	0.731340	0.201300	0.222704	0.731340
49	48	0.731340	0.239194	0.222707	0.731340
50	49	0.731117	0.227460	0.222702	0.731117
