# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-11T00:58:38
# UUID: c9c2af2d-cd8b-45a8-a995-7bddbfca0cd7
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 4282 rows x 52 features
# Positives:   315 (7.4%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 2
#   n_estimators_validation = 2
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.796864	0.230991	0.218666	0.796864
2	1	0.796742	0.250317	0.218485	0.796742
3	2	0.799179	0.227392	0.217617	0.799179
4	3	0.800479	0.224216	0.216796	0.800479
5	4	0.801414	0.218572	0.216195	0.801414
6	5	0.802226	0.229109	0.215596	0.802226
7	6	0.802876	0.242093	0.215619	0.802876
8	7	0.801861	0.218057	0.216423	0.801861
9	8	0.801901	0.231689	0.216892	0.801901
10	9	0.801901	0.218332	0.217017	0.801901
11	10	0.801617	0.234352	0.217235	0.801617
12	11	0.801942	0.230316	0.217397	0.801942
13	12	0.801414	0.216845	0.217600	0.801414
14	13	0.801251	0.215103	0.217987	0.801251
15	14	0.800236	0.229395	0.218309	0.800236
16	15	0.799992	0.232447	0.218320	0.799992
17	16	0.800845	0.219034	0.218324	0.800845
18	17	0.800764	0.218235	0.218504	0.800764
19	18	0.800683	0.225470	0.218533	0.800683
20	19	0.800764	0.222778	0.218232	0.800764
21	20	0.800398	0.219321	0.218182	0.800398
22	21	0.799464	0.236223	0.218087	0.799464
23	22	0.799057	0.202715	0.218200	0.799057
24	23	0.799261	0.245189	0.218233	0.799261
25	24	0.799301	0.225647	0.217930	0.799301
26	25	0.799179	0.230582	0.217681	0.799179
27	26	0.798936	0.230648	0.217573	0.798936
28	27	0.798854	0.208380	0.217528	0.798854
29	28	0.798570	0.218818	0.217554	0.798570
30	29	0.798082	0.222782	0.217687	0.798082
31	30	0.798082	0.199811	0.217861	0.798082
32	31	0.796701	0.233068	0.218156	0.796701
33	32	0.795848	0.207194	0.218466	0.795848
34	33	0.794913	0.214253	0.218861	0.794913
35	34	0.794223	0.219296	0.219211	0.794223
36	35	0.793817	0.205844	0.219557	0.793817
37	36	0.794182	0.214200	0.219731	0.794182
38	37	0.793654	0.218065	0.219968	0.793654
39	38	0.793166	0.219361	0.220197	0.793166
40	39	0.793004	0.199832	0.220362	0.793004
41	40	0.792679	0.221938	0.220586	0.792679
42	41	0.792070	0.224704	0.220697	0.792070
43	42	0.791907	0.225734	0.220816	0.791907
44	43	0.792191	0.225841	0.220886	0.792191
45	44	0.791704	0.215358	0.220930	0.791704
46	45	0.792029	0.220136	0.221024	0.792029
47	46	0.791826	0.210160	0.221000	0.791826
48	47	0.791785	0.222438	0.220985	0.791785
49	48	0.791826	0.231104	0.220969	0.791826
50	49	0.791988	0.223483	0.220966	0.791988
