# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-13T19:26:22
# UUID: e41a390a-cf79-4a1b-835e-48477d4f86b7
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 4282 rows x 52 features
# Positives:   315 (7.4%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.799057	0.230436	0.218451	0.799057
2	1	0.799342	0.250861	0.218302	0.799342
3	2	0.799464	0.227542	0.218057	0.799464
4	3	0.799261	0.225235	0.217945	0.799261
5	4	0.798082	0.220814	0.217827	0.798082
6	5	0.798529	0.228383	0.217654	0.798529
7	6	0.798814	0.242003	0.217498	0.798814
8	7	0.799220	0.217338	0.217417	0.799220
9	8	0.799992	0.232105	0.217515	0.799992
10	9	0.799870	0.219180	0.217568	0.799870
11	10	0.799586	0.235420	0.217706	0.799586
12	11	0.799667	0.229578	0.217851	0.799667
13	12	0.799707	0.216899	0.218049	0.799707
14	13	0.800236	0.216505	0.218273	0.800236
15	14	0.800195	0.228601	0.218402	0.800195
16	15	0.799464	0.234754	0.218431	0.799464
17	16	0.799423	0.217407	0.218459	0.799423
18	17	0.799870	0.219475	0.218433	0.799870
19	18	0.800195	0.225312	0.218355	0.800195
20	19	0.800236	0.224600	0.218205	0.800236
21	20	0.799789	0.220062	0.218070	0.799789
22	21	0.799586	0.236643	0.217901	0.799586
23	22	0.799586	0.204420	0.217796	0.799586
24	23	0.799707	0.243455	0.217681	0.799707
25	24	0.799911	0.227306	0.217464	0.799911
26	25	0.799423	0.229078	0.217398	0.799423
27	26	0.799179	0.229467	0.217369	0.799179
28	27	0.799261	0.210083	0.217303	0.799261
29	28	0.799179	0.221929	0.217235	0.799179
30	29	0.799301	0.224356	0.217142	0.799301
31	30	0.799423	0.201490	0.217132	0.799423
32	31	0.798976	0.234140	0.217159	0.798976
33	32	0.798895	0.209093	0.217151	0.798895
34	33	0.798976	0.215893	0.217141	0.798976
35	34	0.798895	0.222158	0.217166	0.798895
36	35	0.798936	0.208659	0.217206	0.798936
37	36	0.799301	0.217887	0.217238	0.799301
38	37	0.799423	0.218316	0.217271	0.799423
39	38	0.799504	0.220300	0.217313	0.799504
40	39	0.799667	0.203370	0.217327	0.799667
41	40	0.799586	0.225207	0.217353	0.799586
42	41	0.799626	0.227065	0.217373	0.799626
43	42	0.799545	0.227802	0.217406	0.799545
44	43	0.799504	0.226267	0.217393	0.799504
45	44	0.799464	0.215822	0.217416	0.799464
46	45	0.799342	0.220131	0.217407	0.799342
47	46	0.799545	0.211669	0.217402	0.799545
48	47	0.799586	0.226743	0.217431	0.799586
49	48	0.799504	0.229382	0.217411	0.799504
50	49	0.799382	0.223149	0.217415	0.799382
