# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-22T16:51:37
# UUID: 499ee76b-8036-4f70-adfe-0c600e854524
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3618 rows x 52 features
# Positives:   258 (7.1%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.817623	0.213184	0.202631	0.817623
2	1	0.817738	0.214732	0.202813	0.817738
3	2	0.818829	0.227395	0.203160	0.818829
4	3	0.819633	0.226170	0.203437	0.819633
5	4	0.818370	0.218791	0.203747	0.818370
6	5	0.818714	0.219555	0.204177	0.818714
7	6	0.819001	0.200869	0.204450	0.819001
8	7	0.818886	0.199979	0.204663	0.818886
9	8	0.818714	0.219479	0.204708	0.818714
10	9	0.818427	0.221352	0.204585	0.818427
11	10	0.818599	0.225457	0.204363	0.818599
12	11	0.818255	0.227379	0.203994	0.818255
13	12	0.818427	0.219651	0.203604	0.818427
14	13	0.818657	0.214307	0.203206	0.818657
15	14	0.818542	0.221334	0.202901	0.818542
16	15	0.818829	0.246259	0.202762	0.818829
17	16	0.819116	0.241444	0.202666	0.819116
18	17	0.819173	0.233737	0.202657	0.819173
19	18	0.819518	0.222223	0.202764	0.819518
20	19	0.819518	0.224077	0.202909	0.819518
21	20	0.819518	0.211946	0.203074	0.819518
22	21	0.819116	0.232138	0.203229	0.819116
23	22	0.819403	0.226877	0.203393	0.819403
24	23	0.819346	0.205586	0.203419	0.819346
25	24	0.819059	0.204025	0.203342	0.819059
26	25	0.819403	0.213658	0.203288	0.819403
27	26	0.819231	0.214605	0.203252	0.819231
28	27	0.818772	0.225849	0.203187	0.818772
29	28	0.818657	0.217036	0.203102	0.818657
30	29	0.819173	0.213006	0.203021	0.819173
31	30	0.818714	0.211140	0.203001	0.818714
32	31	0.818370	0.221081	0.202942	0.818370
33	32	0.818485	0.214906	0.202873	0.818485
34	33	0.818370	0.226512	0.202860	0.818370
35	34	0.818255	0.228175	0.202875	0.818255
36	35	0.818427	0.213860	0.202825	0.818427
37	36	0.818370	0.223104	0.202795	0.818370
38	37	0.818197	0.224021	0.202765	0.818197
39	38	0.818427	0.203624	0.202729	0.818427
40	39	0.818083	0.237759	0.202709	0.818083
41	40	0.818255	0.218409	0.202716	0.818255
42	41	0.818197	0.200707	0.202735	0.818197
43	42	0.817796	0.206245	0.202722	0.817796
44	43	0.817910	0.211930	0.202707	0.817910
45	44	0.817910	0.237778	0.202710	0.817910
46	45	0.817853	0.206460	0.202701	0.817853
47	46	0.817681	0.229338	0.202691	0.817681
48	47	0.817623	0.219478	0.202693	0.817623
49	48	0.817738	0.207157	0.202672	0.817738
50	49	0.817681	0.219367	0.202688	0.817681
