# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-13T19:43:57
# UUID: 5aaba671-3bb0-46a3-b98f-8b54bbe9db73
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3612 rows x 52 features
# Positives:   260 (7.2%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.824340	0.230335	0.206701	0.824340
2	1	0.824397	0.226486	0.206755	0.824397
3	2	0.825258	0.226345	0.206863	0.825258
4	3	0.825258	0.227295	0.206862	0.825258
5	4	0.825144	0.205156	0.206939	0.825144
6	5	0.825201	0.203329	0.207130	0.825201
7	6	0.824455	0.242385	0.207363	0.824455
8	7	0.823651	0.224313	0.207666	0.823651
9	8	0.823708	0.220789	0.207960	0.823708
10	9	0.822560	0.230999	0.208278	0.822560
11	10	0.822790	0.240753	0.208522	0.822790
12	11	0.822044	0.211990	0.208844	0.822044
13	12	0.821757	0.245142	0.209063	0.821757
14	13	0.821527	0.219438	0.209305	0.821527
15	14	0.821699	0.219370	0.209444	0.821699
16	15	0.821470	0.227152	0.209528	0.821470
17	16	0.821584	0.217459	0.209608	0.821584
18	17	0.822331	0.217697	0.209626	0.822331
19	18	0.822331	0.226944	0.209722	0.822331
20	19	0.822331	0.218934	0.209932	0.822331
21	20	0.821986	0.219479	0.210084	0.821986
22	21	0.822445	0.215666	0.210193	0.822445
23	22	0.822044	0.231655	0.210284	0.822044
24	23	0.822273	0.218797	0.210387	0.822273
25	24	0.822273	0.217521	0.210504	0.822273
26	25	0.822445	0.220905	0.210596	0.822445
27	26	0.822388	0.212080	0.210655	0.822388
28	27	0.822388	0.210659	0.210746	0.822388
29	28	0.822503	0.223661	0.210817	0.822503
30	29	0.822618	0.228822	0.210884	0.822618
31	30	0.822560	0.230175	0.210943	0.822560
32	31	0.822618	0.215478	0.210946	0.822618
33	32	0.822732	0.220512	0.210953	0.822732
34	33	0.822962	0.207393	0.210945	0.822962
35	34	0.823020	0.233932	0.210943	0.823020
36	35	0.823421	0.219780	0.210902	0.823421
37	36	0.823192	0.220426	0.210865	0.823192
38	37	0.823077	0.225179	0.210864	0.823077
39	38	0.823192	0.218681	0.210826	0.823192
40	39	0.823077	0.212915	0.210794	0.823077
41	40	0.823192	0.221182	0.210766	0.823192
42	41	0.823249	0.221363	0.210724	0.823249
43	42	0.823192	0.217652	0.210715	0.823192
44	43	0.823249	0.220401	0.210699	0.823249
45	44	0.823134	0.219934	0.210684	0.823134
46	45	0.823077	0.208606	0.210693	0.823077
47	46	0.823134	0.230051	0.210685	0.823134
48	47	0.823192	0.228284	0.210675	0.823192
49	48	0.823192	0.230398	0.210676	0.823192
50	49	0.823020	0.217376	0.210674	0.823020
