# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-11T01:57:32
# UUID: a6579774-b229-4c8b-b913-a88467a9b795
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3809 rows x 52 features
# Positives:   280 (7.4%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 2
#   n_estimators_validation = 2
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.762835	0.241618	0.226915	0.762835
2	1	0.763799	0.226752	0.226704	0.763799
3	2	0.763951	0.225558	0.226527	0.763951
4	3	0.764103	0.225537	0.226633	0.764103
5	4	0.764306	0.220579	0.226971	0.764306
6	5	0.764864	0.241360	0.227033	0.764864
7	6	0.765828	0.239040	0.226789	0.765828
8	7	0.766792	0.229130	0.226491	0.766792
9	8	0.768060	0.228911	0.226066	0.768060
10	9	0.771002	0.228940	0.225310	0.771002
11	10	0.770546	0.228634	0.224815	0.770546
12	11	0.770292	0.224258	0.224469	0.770292
13	12	0.771104	0.215950	0.223644	0.771104
14	13	0.770749	0.233322	0.223763	0.770749
15	14	0.770241	0.231089	0.224094	0.770241
16	15	0.771358	0.224948	0.224126	0.771358
17	16	0.773235	0.242321	0.224118	0.773235
18	17	0.773640	0.230603	0.224117	0.773640
19	18	0.773590	0.252018	0.224158	0.773590
20	19	0.774198	0.219750	0.224069	0.774198
21	20	0.773438	0.227293	0.224131	0.773438
22	21	0.773387	0.227762	0.224198	0.773387
23	22	0.772321	0.224053	0.224276	0.772321
24	23	0.773133	0.220856	0.224165	0.773133
25	24	0.773082	0.225667	0.224434	0.773082
26	25	0.772981	0.214876	0.224618	0.772981
27	26	0.771713	0.226932	0.225009	0.771713
28	27	0.771814	0.242721	0.225151	0.771814
29	28	0.771104	0.226489	0.225352	0.771104
30	29	0.771560	0.232503	0.225405	0.771560
31	30	0.770546	0.212932	0.225557	0.770546
32	31	0.770444	0.222622	0.225435	0.770444
33	32	0.770850	0.225935	0.225404	0.770850
34	33	0.770343	0.232099	0.225318	0.770343
35	34	0.770089	0.238796	0.225226	0.770089
36	35	0.770039	0.237715	0.225093	0.770039
37	36	0.770140	0.243880	0.225057	0.770140
38	37	0.770089	0.218060	0.224907	0.770089
39	38	0.769836	0.233172	0.224918	0.769836
40	39	0.769937	0.225517	0.224862	0.769937
41	40	0.769886	0.216235	0.224911	0.769886
42	41	0.769633	0.225754	0.224893	0.769633
43	42	0.769531	0.225041	0.224912	0.769531
44	43	0.769886	0.222601	0.224846	0.769886
45	44	0.769531	0.225457	0.224861	0.769531
46	45	0.770140	0.216652	0.224791	0.770140
47	46	0.770241	0.222648	0.224813	0.770241
48	47	0.769937	0.235476	0.224815	0.769937
49	48	0.769988	0.221316	0.224821	0.769988
50	49	0.770343	0.223247	0.224788	0.770343
