# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-11T00:53:31
# UUID: 552f42ab-987b-4387-a510-508a78f03200
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3161 rows x 52 features
# Positives:   227 (7.2%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 2
#   n_estimators_validation = 2
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.740021	0.230339	0.226998	0.740021
2	1	0.739427	0.209909	0.226823	0.739427
3	2	0.738018	0.208434	0.226486	0.738018
4	3	0.736682	0.211716	0.226609	0.736682
5	4	0.738018	0.221000	0.226352	0.738018
6	5	0.738537	0.221635	0.225627	0.738537
7	6	0.739353	0.223563	0.224845	0.739353
8	7	0.739501	0.222336	0.224355	0.739501
9	8	0.739576	0.212946	0.224038	0.739576
10	9	0.739798	0.212553	0.223770	0.739798
11	10	0.739130	0.214445	0.223514	0.739130
12	11	0.739798	0.189166	0.223705	0.739798
13	12	0.740540	0.228223	0.223817	0.740540
14	13	0.741653	0.207963	0.224076	0.741653
15	14	0.742692	0.217470	0.224485	0.742692
16	15	0.742543	0.217007	0.224984	0.742543
17	16	0.743508	0.210201	0.225749	0.743508
18	17	0.742543	0.211129	0.227229	0.742543
19	18	0.743508	0.216444	0.228842	0.743508
20	19	0.742321	0.221700	0.230493	0.742321
21	20	0.743953	0.228405	0.229437	0.743953
22	21	0.745066	0.205455	0.229141	0.745066
23	22	0.745956	0.208331	0.228481	0.745956
24	23	0.746179	0.213228	0.227708	0.746179
25	24	0.746698	0.223561	0.226969	0.746698
26	25	0.748034	0.210021	0.226217	0.748034
27	26	0.747143	0.230551	0.225813	0.747143
28	27	0.746921	0.213407	0.225544	0.746921
29	28	0.746995	0.209024	0.225461	0.746995
30	29	0.746921	0.205354	0.225700	0.746921
31	30	0.746105	0.224697	0.225847	0.746105
32	31	0.745660	0.232781	0.226150	0.745660
33	32	0.745214	0.214721	0.226464	0.745214
34	33	0.745363	0.220523	0.226773	0.745363
35	34	0.745214	0.203592	0.227389	0.745214
36	35	0.744769	0.222033	0.227534	0.744769
37	36	0.744547	0.238991	0.227688	0.744547
38	37	0.744027	0.228863	0.227978	0.744027
39	38	0.744027	0.205576	0.228094	0.744027
40	39	0.744324	0.213160	0.228184	0.744324
41	40	0.744547	0.218699	0.228106	0.744547
42	41	0.744398	0.219941	0.228169	0.744398
43	42	0.744398	0.200087	0.228031	0.744398
44	43	0.744695	0.212731	0.228041	0.744695
45	44	0.744398	0.187958	0.228057	0.744398
46	45	0.744472	0.206603	0.228004	0.744472
47	46	0.744621	0.219454	0.227992	0.744621
48	47	0.744176	0.198031	0.227824	0.744176
49	48	0.744176	0.238742	0.227933	0.744176
50	49	0.744324	0.225269	0.228044	0.744324
