# metric: mean |SHAP|
rank,feature,value
1,headache_free_streak,0.03618544
2,days_since_last_migraine,0.01926864
3,inappropriate_lighting,0.01636199
4,menstruation_today,0.01598341
5,migraine_rate_last7,0.01554084
6,inappropriate_lighting_today,0.01356021
7,migraine_rate_last3,0.01172681
8,migraine_yesterday,0.00866636
9,cheese_chocolate_today,0.00441571
10,sleep_variability_7day,0.00425005
11,emotional_changes_today,0.00350590
12,weather_headache_interaction,0.00290255
13,specific_smells_today,0.00231464
14,travel_today,0.00212707
15,cheese_chocolate,0.00202475
16,recording_gap_flag,0.00195859
17,sleep_disruption_today,0.00193362
18,overeating_today,0.00188651
19,consecutive_sedentary_days,0.00181596
20,stress_today,0.00178720
21,no_exercise_today,0.00170341
22,alcohol_today,0.00153993
23,sunlight,0.00152875
24,exercise_days_7day,0.00150353
25,ovulation_today,0.00145198
26,sunlight_today,0.00138480
27,excessive_smoking_today,0.00125309
28,irregular_meals_today,0.00120578
29,oversleeping_today,0.00118070
30,exercise_today,0.00117536
31,noise_today,0.00116244
32,sleep_debt_3day,0.00112215
33,lack_of_sleep_today,0.00109074
34,any_sleep_issue_today,0.00088624
35,excessive_smoking,0.00086341
36,consecutive_exercise_days,0.00085802
37,recent_weekend_sleep_issues,0.00085237
38,days_since_last_record,0.00082940
39,consecutive_trigger_days,0.00072191
40,dow,0.00070649
41,moderate_exercise_min,0.00060233
42,exercise_as_trigger,0.00058753
43,exercise_as_trigger_today,0.00047166
44,physical_fatigue_today,0.00040653
45,vigorous_exercise_min,0.00040461
46,weather_instability_3day,0.00038055
47,stress_drop_today,0.00036956
48,weather_change_yesterday,0.00033234
49,consecutive_stress_days,0.00032530
50,excessive_caffeine_today,0.00029124
51,weather_change_today,0.00022869
52,consecutive_weather_changes,0.00017750
