# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-11T01:04:26
# UUID: 6d22dad3-2287-46a2-baf2-c4bcf1f6c679
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3941 rows x 31 features
# Positives:   287 (7.3%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 2
#   n_estimators_validation = 2
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.622390	0.252902	0.250888	0.622390
2	1	0.624043	0.256973	0.250816	0.624043
3	2	0.624752	0.256516	0.250761	0.624752
4	3	0.628956	0.252145	0.250716	0.628956
5	4	0.639159	0.251025	0.250585	0.639159
6	5	0.642513	0.252926	0.250483	0.642513
7	6	0.636042	0.247849	0.250255	0.636042
8	7	0.633113	0.253531	0.249884	0.633113
9	8	0.635097	0.248547	0.249564	0.635097
10	9	0.641804	0.247325	0.249484	0.641804
11	10	0.651960	0.245318	0.249372	0.651960
12	11	0.654039	0.249744	0.248980	0.654039
13	12	0.656023	0.247366	0.248727	0.656023
14	13	0.658479	0.258187	0.248564	0.658479
15	14	0.660746	0.248362	0.248621	0.660746
16	15	0.661974	0.255750	0.248659	0.661974
17	16	0.662447	0.252272	0.248646	0.662447
18	17	0.662966	0.251374	0.248466	0.662966
19	18	0.663958	0.250889	0.248418	0.663958
20	19	0.660510	0.247255	0.248531	0.660510
21	20	0.662400	0.254832	0.248614	0.662400
22	21	0.662683	0.246519	0.248747	0.662683
23	22	0.663061	0.250441	0.248768	0.663061
24	23	0.663297	0.251778	0.248779	0.663297
25	24	0.662494	0.246548	0.248747	0.662494
26	25	0.666320	0.248001	0.248710	0.666320
27	26	0.666320	0.247624	0.248702	0.666320
28	27	0.666415	0.249283	0.248687	0.666415
29	28	0.666462	0.251169	0.248667	0.666462
30	29	0.670146	0.247978	0.248730	0.670146
31	30	0.673264	0.243466	0.248710	0.673264
32	31	0.672981	0.239266	0.248711	0.672981
33	32	0.672792	0.248367	0.248640	0.672792
34	33	0.678460	0.264908	0.248609	0.678460
35	34	0.672508	0.242984	0.248445	0.672508
36	35	0.672130	0.256025	0.248412	0.672130
37	36	0.672225	0.251866	0.248232	0.672225
38	37	0.678460	0.239590	0.248130	0.678460
39	38	0.677988	0.246466	0.248088	0.677988
40	39	0.678082	0.247800	0.247996	0.678082
41	40	0.677940	0.243678	0.247921	0.677940
42	41	0.678129	0.251515	0.247905	0.678129
43	42	0.678318	0.256950	0.247883	0.678318
44	43	0.678744	0.248691	0.247867	0.678744
45	44	0.678649	0.254436	0.247840	0.678649
46	45	0.679027	0.246858	0.247813	0.679027
47	46	0.678555	0.261657	0.247836	0.678555
48	47	0.678649	0.246381	0.247817	0.678649
49	48	0.678460	0.257080	0.247813	0.678460
50	49	0.678555	0.248990	0.247819	0.678555
