# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-11T02:00:32
# UUID: 878e241d-9f5c-4c20-a5e2-fed566dc76dc
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 1213 rows x 31 features
# Positives:   95 (7.8%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 2
#   n_estimators_validation = 2
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.747024	0.245765	0.221439	0.747024
2	1	0.746032	0.281467	0.221340	0.746032
3	2	0.746528	0.275713	0.221241	0.746528
4	3	0.747520	0.274964	0.221189	0.747520
5	4	0.747520	0.268120	0.221467	0.747520
6	5	0.748016	0.259374	0.221710	0.748016
7	6	0.748512	0.262362	0.221904	0.748512
8	7	0.750000	0.264679	0.222310	0.750000
9	8	0.748016	0.278000	0.222751	0.748016
10	9	0.749008	0.260493	0.223092	0.749008
11	10	0.748016	0.266019	0.223361	0.748016
12	11	0.749504	0.268796	0.223409	0.749504
13	12	0.749504	0.272058	0.223526	0.749504
14	13	0.750496	0.252518	0.223547	0.750496
15	14	0.749008	0.271939	0.223588	0.749008
16	15	0.750496	0.277942	0.223590	0.750496
17	16	0.748512	0.254870	0.223490	0.748512
18	17	0.748512	0.251547	0.223091	0.748512
19	18	0.758433	0.251151	0.222569	0.758433
20	19	0.761409	0.256635	0.221880	0.761409
21	20	0.764385	0.284412	0.221349	0.764385
22	21	0.780754	0.274085	0.220546	0.780754
23	22	0.764385	0.271614	0.220259	0.764385
24	23	0.766369	0.265736	0.220163	0.766369
25	24	0.769841	0.244298	0.221017	0.769841
26	25	0.780754	0.265347	0.221579	0.780754
27	26	0.760913	0.279228	0.223531	0.760913
28	27	0.760913	0.265917	0.223531	0.760913
29	28	0.760913	0.271547	0.223531	0.760913
30	29	0.767857	0.262239	0.222349	0.767857
31	30	0.758433	0.256300	0.222256	0.758433
32	31	0.762401	0.266981	0.220712	0.762401
33	32	0.755456	0.258540	0.220629	0.755456
34	33	0.756448	0.256085	0.220582	0.756448
35	34	0.759921	0.248299	0.219297	0.759921
36	35	0.759921	0.289381	0.219297	0.759921
37	36	0.758433	0.261770	0.219173	0.758433
38	37	0.758433	0.246677	0.219105	0.758433
39	38	0.756448	0.246916	0.219246	0.756448
40	39	0.759425	0.249966	0.218916	0.759425
41	40	0.764385	0.253451	0.218751	0.764385
42	41	0.758433	0.268605	0.219107	0.758433
43	42	0.764385	0.242984	0.218744	0.764385
44	43	0.765377	0.236620	0.218492	0.765377
45	44	0.757937	0.286235	0.218630	0.757937
46	45	0.755456	0.268116	0.218762	0.755456
47	46	0.757440	0.248725	0.218715	0.757440
48	47	0.764385	0.248469	0.218305	0.764385
49	48	0.763393	0.246307	0.218415	0.763393
50	49	0.764385	0.249457	0.218458	0.764385
