# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-11T02:01:45
# UUID: 0cd075a8-950d-4837-8bad-da278bdcffce
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 2272 rows x 31 features
# Positives:   164 (7.2%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 2
#   n_estimators_validation = 2
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.623667	0.252506	0.240965	0.623667
2	1	0.622778	0.264702	0.241007	0.622778
3	2	0.623519	0.255536	0.241093	0.623519
4	3	0.615818	0.257980	0.241309	0.615818
5	4	0.612411	0.245615	0.241695	0.612411
6	5	0.615669	0.250040	0.241745	0.615669
7	6	0.615521	0.245171	0.241861	0.615521
8	7	0.610930	0.247018	0.242184	0.610930
9	8	0.611671	0.244257	0.242560	0.611671
10	9	0.613300	0.250954	0.243003	0.613300
11	10	0.613300	0.261448	0.243003	0.613300
12	11	0.613152	0.265976	0.243244	0.613152
13	12	0.613596	0.250411	0.243360	0.613596
14	13	0.613004	0.265956	0.243486	0.613004
15	14	0.610190	0.257937	0.243499	0.610190
16	15	0.599082	0.253855	0.243508	0.599082
17	16	0.597601	0.253040	0.243457	0.597601
18	17	0.585752	0.250301	0.243371	0.585752
19	18	0.585752	0.265874	0.243371	0.585752
20	19	0.586641	0.249024	0.243245	0.586641
21	20	0.588122	0.260934	0.243162	0.588122
22	21	0.587826	0.247785	0.243104	0.587826
23	22	0.586937	0.242118	0.243071	0.586937
24	23	0.587974	0.253111	0.243102	0.587974
25	24	0.588122	0.249498	0.243153	0.588122
26	25	0.578495	0.255056	0.243299	0.578495
27	26	0.579236	0.241267	0.243378	0.579236
28	27	0.578347	0.246806	0.243501	0.578347
29	28	0.578643	0.257760	0.243606	0.578643
30	29	0.577014	0.261590	0.243707	0.577014
31	30	0.577755	0.258487	0.243800	0.577755
32	31	0.577162	0.248834	0.243880	0.577162
33	32	0.575681	0.242591	0.243980	0.575681
34	33	0.577162	0.247615	0.244070	0.577162
35	34	0.577162	0.240601	0.244100	0.577162
36	35	0.576866	0.252079	0.244150	0.576866
37	36	0.576570	0.248432	0.244212	0.576570
38	37	0.577014	0.251633	0.244228	0.577014
39	38	0.576570	0.252145	0.244212	0.576570
40	39	0.575977	0.242344	0.244285	0.575977
41	40	0.575977	0.247250	0.244318	0.575977
42	41	0.576274	0.246281	0.244347	0.576274
43	42	0.576866	0.274461	0.244377	0.576866
44	43	0.576866	0.273855	0.244338	0.576866
45	44	0.577162	0.251271	0.244342	0.577162
46	45	0.577162	0.254295	0.244398	0.577162
47	46	0.576866	0.258803	0.244385	0.576866
48	47	0.576274	0.248368	0.244423	0.576274
49	48	0.577459	0.250747	0.244388	0.577459
50	49	0.576718	0.250220	0.244404	0.576718
