# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-13T21:48:27
# UUID: 83cebf5d-7f86-47f2-b36f-8e17cd078e3c
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 331 rows x 26 features
# Positives:   22 (6.6%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.532258	0.251142	0.230242	0.532258
2	1	0.532258	0.241661	0.230058	0.532258
3	2	0.532258	0.258249	0.229744	0.532258
4	3	0.532258	0.248211	0.229245	0.532258
5	4	0.548387	0.253906	0.228287	0.548387
6	5	0.548387	0.252356	0.227561	0.548387
7	6	0.564516	0.256870	0.226934	0.564516
8	7	0.596774	0.252734	0.226512	0.596774
9	8	0.709677	0.249739	0.226278	0.709677
10	9	0.709677	0.252231	0.225887	0.709677
11	10	0.709677	0.253662	0.225731	0.709677
12	11	0.741935	0.248422	0.225642	0.741935
13	12	0.758065	0.253172	0.225723	0.758065
14	13	0.758065	0.251762	0.225926	0.758065
15	14	0.758065	0.249666	0.226044	0.758065
16	15	0.758065	0.249027	0.226184	0.758065
17	16	0.758065	0.252032	0.226335	0.758065
18	17	0.758065	0.246883	0.226342	0.758065
19	18	0.758065	0.246229	0.226388	0.758065
20	19	0.758065	0.246330	0.226323	0.758065
21	20	0.758065	0.248217	0.226361	0.758065
22	21	0.758065	0.248106	0.226369	0.758065
23	22	0.854839	0.250089	0.226453	0.854839
24	23	0.854839	0.248813	0.226549	0.854839
25	24	0.879032	0.247689	0.226641	0.879032
26	25	0.822581	0.249737	0.226717	0.822581
27	26	0.790323	0.249005	0.226834	0.790323
28	27	0.758065	0.248271	0.226934	0.758065
29	28	0.758065	0.247999	0.226994	0.758065
30	29	0.758065	0.247999	0.227062	0.758065
31	30	0.758065	0.247863	0.227097	0.758065
32	31	0.758065	0.248580	0.227187	0.758065
33	32	0.758065	0.248091	0.227246	0.758065
34	33	0.758065	0.247850	0.227282	0.758065
35	34	0.758065	0.249012	0.227407	0.758065
36	35	0.758065	0.245914	0.227424	0.758065
37	36	0.758065	0.246658	0.227400	0.758065
38	37	0.758065	0.247695	0.227404	0.758065
39	38	0.758065	0.248846	0.227460	0.758065
40	39	0.758065	0.251900	0.227432	0.758065
41	40	0.758065	0.250936	0.227420	0.758065
42	41	0.758065	0.248359	0.227381	0.758065
43	42	0.758065	0.248566	0.227403	0.758065
44	43	0.758065	0.248551	0.227397	0.758065
45	44	0.758065	0.248131	0.227399	0.758065
46	45	0.758065	0.248211	0.227403	0.758065
47	46	0.758065	0.247990	0.227410	0.758065
48	47	0.758065	0.248575	0.227424	0.758065
49	48	0.758065	0.246921	0.227399	0.758065
50	49	0.758065	0.247760	0.227421	0.758065
