# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-13T23:46:37
# UUID: f0355ae8-a4eb-4a86-913e-5f016d371b8b
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 1213 rows x 26 features
# Positives:   95 (7.8%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	10	0.810020	0.265318	0.220066	0.810020
2	11	0.803571	0.270972	0.220165	0.803571
3	12	0.806548	0.272757	0.220388	0.806548
4	13	0.811508	0.255115	0.220537	0.811508
5	14	0.807044	0.270456	0.220685	0.807044
6	15	0.802579	0.278791	0.221039	0.802579
7	16	0.807044	0.255961	0.221164	0.807044
8	17	0.804563	0.253904	0.221083	0.804563
9	18	0.814484	0.254735	0.220695	0.814484
10	19	0.808532	0.259262	0.220264	0.808532
11	20	0.813492	0.286477	0.220164	0.813492
12	21	0.813492	0.276770	0.220103	0.813492
13	22	0.807540	0.270871	0.220142	0.807540
14	23	0.808532	0.267493	0.220261	0.808532
15	24	0.808036	0.246734	0.219858	0.808036
16	25	0.806548	0.268572	0.219530	0.806548
17	26	0.807044	0.277536	0.219525	0.807044
18	27	0.806548	0.259628	0.219576	0.806548
19	28	0.807044	0.261587	0.219640	0.807044
20	29	0.808036	0.256998	0.219591	0.808036
21	30	0.809524	0.258811	0.219515	0.809524
22	31	0.811012	0.268444	0.219367	0.811012
23	32	0.809028	0.260835	0.219230	0.809028
24	33	0.812996	0.256323	0.219084	0.812996
25	34	0.812500	0.250723	0.218749	0.812500
26	35	0.812996	0.272333	0.218452	0.812996
27	36	0.813492	0.265216	0.218313	0.813492
28	37	0.812996	0.250102	0.218008	0.812996
29	38	0.813492	0.248558	0.217716	0.813492
30	39	0.811508	0.251776	0.217350	0.811508
31	40	0.810516	0.255483	0.217021	0.810516
32	41	0.809524	0.267165	0.216781	0.809524
33	42	0.809524	0.245080	0.216547	0.809524
34	43	0.805556	0.238106	0.216258	0.805556
35	44	0.806052	0.270303	0.216005	0.806052
36	45	0.808036	0.264914	0.215797	0.808036
37	46	0.809524	0.249564	0.215608	0.809524
38	47	0.806548	0.252280	0.215424	0.806548
39	48	0.808532	0.248764	0.215278	0.808532
40	49	0.807044	0.253949	0.215116	0.807044
