# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-13T23:50:49
# UUID: f3cc1480-8317-442b-be67-33fac5c4ad96
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 2272 rows x 26 features
# Positives:   164 (7.2%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.589011	0.253572	0.242600	0.589011
2	1	0.588714	0.262554	0.242590	0.588714
3	2	0.589603	0.254382	0.242529	0.589603
4	3	0.587382	0.257351	0.242529	0.587382
5	4	0.586345	0.245853	0.242780	0.586345
6	5	0.589011	0.252033	0.242715	0.589011
7	6	0.590936	0.242546	0.242872	0.590936
8	7	0.591825	0.248664	0.243157	0.591825
9	8	0.590788	0.244078	0.243589	0.590788
10	9	0.589603	0.252804	0.243946	0.589603
11	10	0.590640	0.256086	0.244202	0.590640
12	11	0.590492	0.262861	0.244269	0.590492
13	12	0.590047	0.247506	0.244290	0.590047
14	13	0.590788	0.264184	0.244384	0.590788
15	14	0.588863	0.257321	0.244428	0.588863
16	15	0.588714	0.252898	0.244548	0.588714
17	16	0.586789	0.252638	0.244725	0.586789
18	17	0.586937	0.251460	0.244827	0.586937
19	18	0.584271	0.254711	0.244947	0.584271
20	19	0.583383	0.244830	0.245125	0.583383
21	20	0.582198	0.260677	0.245152	0.582198
22	21	0.583383	0.244185	0.245232	0.583383
23	22	0.583383	0.241661	0.245412	0.583383
24	23	0.583383	0.250358	0.245583	0.583383
25	24	0.581902	0.249239	0.245835	0.581902
26	25	0.583086	0.254357	0.246101	0.583086
27	26	0.582790	0.239719	0.246400	0.582790
28	27	0.582790	0.245054	0.246649	0.582790
29	28	0.582198	0.255876	0.246903	0.582198
30	29	0.582198	0.262471	0.247016	0.582198
31	30	0.581902	0.258067	0.247135	0.581902
32	31	0.581605	0.244062	0.247283	0.581605
33	32	0.582198	0.245967	0.247410	0.582198
34	33	0.582050	0.248333	0.247495	0.582050
35	34	0.581754	0.238444	0.247668	0.581754
36	35	0.581309	0.249970	0.247752	0.581309
37	36	0.582198	0.247133	0.247846	0.582198
38	37	0.582494	0.248843	0.247879	0.582494
39	38	0.581309	0.251726	0.247887	0.581309
40	39	0.580717	0.243877	0.247959	0.580717
41	40	0.580717	0.246753	0.247957	0.580717
42	41	0.581013	0.245500	0.247989	0.581013
43	42	0.580273	0.273292	0.247973	0.580273
44	43	0.580124	0.274479	0.248014	0.580124
45	44	0.579236	0.253796	0.248004	0.579236
46	45	0.580421	0.252109	0.247994	0.580421
47	46	0.578940	0.257727	0.247981	0.578940
48	47	0.580421	0.250403	0.247984	0.580421
49	48	0.580569	0.248687	0.247978	0.580569
50	49	0.580421	0.247975	0.247981	0.580421
