# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-11T01:07:20
# UUID: 30f1bd1c-9661-42d0-92ad-df4852665d10
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3160 rows x 31 features
# Positives:   227 (7.2%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 2
#   n_estimators_validation = 2
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.628728	0.242615	0.260704	0.628728
2	1	0.626651	0.245176	0.260930	0.626651
3	2	0.629693	0.255578	0.260964	0.629693
4	3	0.625835	0.253064	0.261122	0.625835
5	4	0.624573	0.256414	0.260915	0.624573
6	5	0.621309	0.240600	0.260957	0.621309
7	6	0.623164	0.253015	0.260751	0.623164
8	7	0.640970	0.252083	0.260517	0.640970
9	8	0.632215	0.255544	0.260015	0.632215
10	9	0.635257	0.248296	0.259930	0.635257
11	10	0.629173	0.241642	0.260126	0.629173
12	11	0.639635	0.242024	0.260238	0.639635
13	12	0.641712	0.253964	0.260104	0.641712
14	13	0.635703	0.243950	0.259985	0.635703
15	14	0.626502	0.243858	0.259893	0.626502
16	15	0.637928	0.248294	0.259795	0.637928
17	16	0.631919	0.247494	0.259485	0.631919
18	17	0.634293	0.245843	0.259103	0.634293
19	18	0.631993	0.242405	0.258833	0.631993
20	19	0.640674	0.250359	0.258638	0.640674
21	20	0.632883	0.245674	0.258616	0.632883
22	21	0.639116	0.249127	0.258417	0.639116
23	22	0.634145	0.244245	0.258388	0.634145
24	23	0.638374	0.245067	0.258251	0.638374
25	24	0.635703	0.239964	0.258227	0.635703
26	25	0.635554	0.243172	0.258154	0.635554
27	26	0.632067	0.248956	0.257934	0.632067
28	27	0.632661	0.246369	0.257729	0.632661
29	28	0.635925	0.249665	0.257555	0.635925
30	29	0.637409	0.241305	0.257412	0.637409
31	30	0.635035	0.250463	0.257302	0.635035
32	31	0.634738	0.250674	0.257180	0.634738
33	32	0.637261	0.265312	0.257021	0.637261
34	33	0.638151	0.246335	0.256844	0.638151
35	34	0.637187	0.257045	0.256716	0.637187
36	35	0.639190	0.254074	0.256599	0.639190
37	36	0.636890	0.239689	0.256559	0.636890
38	37	0.639190	0.236303	0.256518	0.639190
39	38	0.638670	0.249840	0.256468	0.638670
40	39	0.642083	0.256223	0.256457	0.642083
41	40	0.639783	0.247939	0.256405	0.639783
42	41	0.639858	0.248054	0.256400	0.639858
43	42	0.639932	0.248090	0.256375	0.639932
44	43	0.640525	0.250591	0.256359	0.640525
45	44	0.639338	0.252718	0.256346	0.639338
46	45	0.639116	0.245813	0.256362	0.639116
47	46	0.642158	0.235803	0.256384	0.642158
48	47	0.639635	0.253787	0.256358	0.639635
49	48	0.641119	0.240085	0.256350	0.641119
50	49	0.641193	0.246397	0.256351	0.641193
