# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-13T19:58:40
# UUID: bac4df12-6e16-4f17-ac52-69171289b483
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3160 rows x 26 features
# Positives:   227 (7.2%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.624277	0.243655	0.260269	0.624277
2	1	0.622719	0.246728	0.260510	0.622719
3	2	0.622422	0.257525	0.260655	0.622422
4	3	0.622496	0.253200	0.260841	0.622496
5	4	0.624796	0.256845	0.260982	0.624796
6	5	0.621531	0.239585	0.261187	0.621531
7	6	0.624202	0.251806	0.261267	0.624202
8	7	0.620864	0.252988	0.261313	0.620864
9	8	0.623312	0.254995	0.261036	0.623312
10	9	0.618860	0.249323	0.261047	0.618860
11	10	0.623757	0.241232	0.261252	0.623757
12	11	0.624796	0.240963	0.261348	0.624796
13	12	0.627467	0.254585	0.261249	0.627467
14	13	0.623906	0.243944	0.261343	0.623906
15	14	0.628209	0.244703	0.261456	0.628209
16	15	0.624722	0.248187	0.261464	0.624722
17	16	0.621531	0.246931	0.261372	0.621531
18	17	0.624277	0.246056	0.261116	0.624277
19	18	0.621086	0.243806	0.260927	0.621086
20	19	0.622867	0.251101	0.260631	0.622867
21	20	0.621383	0.246136	0.260494	0.621383
22	21	0.624425	0.248679	0.260318	0.624425
23	22	0.622644	0.243975	0.260203	0.622644
24	23	0.624573	0.246134	0.260158	0.624573
25	24	0.623906	0.240656	0.260255	0.623906
26	25	0.625760	0.242659	0.260393	0.625760
27	26	0.627690	0.248835	0.260351	0.627690
28	27	0.627319	0.246387	0.260273	0.627319
29	28	0.626799	0.248083	0.260076	0.626799
30	29	0.624573	0.242862	0.259985	0.624573
31	30	0.629248	0.252814	0.259772	0.629248
32	31	0.627986	0.251523	0.259524	0.627986
33	32	0.628283	0.265174	0.259120	0.628283
34	33	0.628506	0.245981	0.258779	0.628506
35	34	0.629025	0.256156	0.258510	0.629025
36	35	0.629470	0.255153	0.258219	0.629470
37	36	0.630138	0.239840	0.258102	0.630138
38	37	0.631622	0.237713	0.258021	0.631622
39	38	0.629619	0.249905	0.257985	0.629619
40	39	0.630583	0.252399	0.257938	0.630583
41	40	0.631399	0.247857	0.257880	0.631399
42	41	0.631844	0.247808	0.257849	0.631844
43	42	0.629470	0.249523	0.257855	0.629470
44	43	0.631177	0.251534	0.257825	0.631177
45	44	0.631993	0.252443	0.257812	0.631993
46	45	0.632364	0.244232	0.257819	0.632364
47	46	0.631325	0.237165	0.257815	0.631325
48	47	0.631548	0.252261	0.257827	0.631548
49	48	0.629915	0.240014	0.257805	0.629915
50	49	0.631993	0.247138	0.257825	0.631993
