# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-22T17:11:13
# UUID: 9e63b0cb-0dd0-4cb2-a298-1a143606943a
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3229 rows x 26 features
# Positives:   226 (7.0%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.694271	0.242527	0.236694	0.694271
2	1	0.694998	0.249976	0.236668	0.694998
3	2	0.696525	0.248143	0.236731	0.696525
4	3	0.694634	0.248537	0.236903	0.694634
5	4	0.693180	0.253558	0.236983	0.693180
6	5	0.687800	0.242270	0.237096	0.687800
7	6	0.686128	0.240567	0.237248	0.686128
8	7	0.685691	0.240418	0.237425	0.685691
9	8	0.685691	0.236243	0.237453	0.685691
10	9	0.688963	0.236684	0.237470	0.688963
11	10	0.691944	0.238017	0.237456	0.691944
12	11	0.696088	0.242417	0.237585	0.696088
13	12	0.699287	0.243721	0.237734	0.699287
14	13	0.692744	0.239605	0.237937	0.692744
15	14	0.698124	0.247712	0.238109	0.698124
16	15	0.690417	0.222996	0.238361	0.690417
17	16	0.690199	0.248924	0.238416	0.690199
18	17	0.689545	0.238890	0.238509	0.689545
19	18	0.688454	0.246855	0.238505	0.688454
20	19	0.689908	0.258370	0.238355	0.689908
21	20	0.693980	0.252497	0.238132	0.693980
22	21	0.692671	0.228727	0.237883	0.692671
23	22	0.695798	0.223628	0.237702	0.695798
24	23	0.697833	0.238588	0.237628	0.697833
25	24	0.695725	0.258336	0.237492	0.695725
26	25	0.699433	0.238375	0.237360	0.699433
27	26	0.699506	0.244400	0.237239	0.699506
28	27	0.698779	0.240619	0.237300	0.698779
29	28	0.698488	0.234061	0.237351	0.698488
30	29	0.698488	0.242239	0.237341	0.698488
31	30	0.698270	0.228555	0.237351	0.698270
32	31	0.698560	0.242995	0.237364	0.698560
33	32	0.698415	0.235398	0.237403	0.698415
34	33	0.698560	0.223961	0.237466	0.698560
35	34	0.698706	0.244039	0.237523	0.698706
36	35	0.698633	0.240194	0.237569	0.698633
37	36	0.698706	0.231397	0.237614	0.698706
38	37	0.698415	0.234264	0.237652	0.698415
39	38	0.698124	0.245383	0.237654	0.698124
40	39	0.699069	0.231565	0.237694	0.699069
41	40	0.698924	0.235912	0.237754	0.698924
42	41	0.697833	0.231504	0.237760	0.697833
43	42	0.700451	0.235416	0.237772	0.700451
44	43	0.698997	0.229261	0.237796	0.698997
45	44	0.700233	0.261528	0.237787	0.700233
46	45	0.700233	0.229739	0.237785	0.700233
47	46	0.700523	0.231704	0.237767	0.700523
48	47	0.700378	0.242327	0.237776	0.700378
49	48	0.700596	0.246926	0.237770	0.700596
50	49	0.700451	0.238133	0.237777	0.700451
