# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-11T01:13:20
# UUID: 22aafc35-722d-422b-8708-8393365af32e
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3161 rows x 31 features
# Positives:   227 (7.2%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 2
#   n_estimators_validation = 2
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.713756	0.249614	0.242419	0.713756
2	1	0.714498	0.240573	0.242031	0.714498
3	2	0.715759	0.250438	0.241607	0.715759
4	3	0.715462	0.244000	0.241158	0.715462
5	4	0.716649	0.249611	0.241066	0.716649
6	5	0.718801	0.252386	0.241225	0.718801
7	6	0.703220	0.241502	0.241050	0.703220
8	7	0.703072	0.250832	0.240797	0.703072
9	8	0.703962	0.249169	0.240746	0.703962
10	9	0.703591	0.249792	0.240909	0.703591
11	10	0.704630	0.239724	0.240852	0.704630
12	11	0.704333	0.230680	0.240707	0.704333
13	12	0.702923	0.244760	0.240424	0.702923
14	13	0.703294	0.246294	0.240240	0.703294
15	14	0.693501	0.247751	0.239902	0.693501
16	15	0.702627	0.238791	0.239657	0.702627
17	16	0.696691	0.244696	0.239310	0.696691
18	17	0.688455	0.248112	0.238999	0.688455
19	18	0.683855	0.241396	0.238739	0.683855
20	19	0.680516	0.240487	0.238488	0.680516
21	20	0.679626	0.244444	0.238149	0.679626
22	21	0.679107	0.251479	0.237829	0.679107
23	22	0.680145	0.243875	0.237620	0.680145
24	23	0.682668	0.241622	0.237413	0.682668
25	24	0.680739	0.242655	0.237314	0.680739
26	25	0.682074	0.245967	0.237227	0.682074
27	26	0.680962	0.249125	0.237096	0.680962
28	27	0.682445	0.233884	0.236977	0.682445
29	28	0.682668	0.243338	0.236937	0.682668
30	29	0.681852	0.242841	0.236891	0.681852
31	30	0.680665	0.239955	0.236882	0.680665
32	31	0.675620	0.244822	0.236919	0.675620
33	32	0.680962	0.246801	0.236883	0.680962
34	33	0.681555	0.246427	0.236889	0.681555
35	34	0.682594	0.248513	0.236909	0.682594
36	35	0.681481	0.252726	0.237100	0.681481
37	36	0.682074	0.263039	0.237211	0.682074
38	37	0.680591	0.252273	0.237261	0.680591
39	38	0.678291	0.254504	0.237423	0.678291
40	39	0.681704	0.248046	0.237573	0.681704
41	40	0.681184	0.245342	0.237693	0.681184
42	41	0.682520	0.238686	0.237894	0.682520
43	42	0.680962	0.238582	0.237967	0.680962
44	43	0.680813	0.242242	0.238186	0.680813
45	44	0.681926	0.234627	0.238312	0.681926
46	45	0.679107	0.238135	0.238410	0.679107
47	46	0.679478	0.242186	0.238506	0.679478
48	47	0.679997	0.242615	0.238590	0.679997
49	48	0.679626	0.248220	0.238536	0.679626
50	49	0.681704	0.241037	0.238535	0.681704
