# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-13T20:09:32
# UUID: 5a2b83ae-2d44-4d34-9017-27418dcb925e
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3161 rows x 26 features
# Positives:   227 (7.2%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.713311	0.248260	0.241515	0.713311
2	1	0.714201	0.237398	0.241395	0.714201
3	2	0.705594	0.249782	0.241256	0.705594
4	3	0.718875	0.243743	0.241186	0.718875
5	4	0.721027	0.247738	0.241201	0.721027
6	5	0.723995	0.251137	0.241230	0.723995
7	6	0.726517	0.239006	0.240943	0.726517
8	7	0.724366	0.252086	0.240776	0.724366
9	8	0.719691	0.250176	0.240868	0.719691
10	9	0.720953	0.249694	0.240957	0.720953
11	10	0.711233	0.239665	0.240815	0.711233
12	11	0.710194	0.231037	0.240558	0.710194
13	12	0.710491	0.245169	0.240253	0.710491
14	13	0.709972	0.242910	0.239884	0.709972
15	14	0.710194	0.246729	0.239413	0.710194
16	15	0.711827	0.240066	0.239060	0.711827
17	16	0.714053	0.245571	0.238722	0.714053
18	17	0.722659	0.248374	0.238460	0.722659
19	18	0.725033	0.242044	0.238272	0.725033
20	19	0.727037	0.241412	0.238123	0.727037
21	20	0.723030	0.247144	0.238182	0.723030
22	21	0.714498	0.249642	0.238219	0.714498
23	22	0.715091	0.245945	0.238279	0.715091
24	23	0.716204	0.245228	0.238340	0.716204
25	24	0.715833	0.245207	0.238483	0.715833
26	25	0.713830	0.245909	0.238643	0.713830
27	26	0.714127	0.251485	0.238845	0.714127
28	27	0.705223	0.236153	0.239054	0.705223
29	28	0.712049	0.243399	0.239258	0.712049
30	29	0.715833	0.244789	0.239418	0.715833
31	30	0.717317	0.241896	0.239485	0.717317
32	31	0.717540	0.246467	0.239548	0.717540
33	32	0.718875	0.249047	0.239547	0.718875
34	33	0.716501	0.251979	0.239523	0.716501
35	34	0.715759	0.248379	0.239523	0.715759
36	35	0.717836	0.254203	0.239503	0.717836
37	36	0.716575	0.265858	0.239468	0.716575
38	37	0.716724	0.249958	0.239398	0.716724
39	38	0.717020	0.255945	0.239382	0.717020
40	39	0.717095	0.246385	0.239370	0.717095
41	40	0.716575	0.247715	0.239357	0.716575
42	41	0.717836	0.239261	0.239359	0.717836
43	42	0.716427	0.243028	0.239377	0.716427
44	43	0.716575	0.246621	0.239359	0.716575
45	44	0.716575	0.237863	0.239365	0.716575
46	45	0.717614	0.240743	0.239387	0.717614
47	46	0.716724	0.243856	0.239376	0.716724
48	47	0.716278	0.241633	0.239409	0.716278
49	48	0.717540	0.248391	0.239402	0.717540
50	49	0.715388	0.240323	0.239388	0.715388
