# metric: mean |SHAP|
rank,feature,value
1,inappropriate_lighting_today,0.02848024
2,menstruation_today,0.01798562
3,stress_today,0.01366084
4,specific_smells_today,0.01055548
5,exercise_as_trigger_today,0.00993768
6,exercise_today,0.00902193
7,no_exercise_today,0.00747396
8,weather_change_today,0.00698346
9,lack_of_sleep_today,0.00664684
10,ovulation_today,0.00616659
11,any_sleep_issue_today,0.00614035
12,physical_fatigue_today,0.00609223
13,irregular_meals_today,0.00561257
14,travel_today,0.00548024
15,excessive_smoking_today,0.00455354
16,noise_today,0.00454294
17,cheese_chocolate_today,0.00436705
18,dow,0.00435859
19,emotional_changes_today,0.00432153
20,alcohol_today,0.00398308
21,moderate_exercise_min,0.00349561
22,sunlight_today,0.00338293
23,oversleeping_today,0.00329506
24,overeating_today,0.00315642
25,excessive_caffeine_today,0.00253853
26,vigorous_exercise_min,0.00120206
