# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-13T20:19:15
# UUID: f4095cce-41f7-4803-85cb-495b8b6e9bf2
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 4282 rows x 26 features
# Positives:   315 (7.4%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.625335	0.246079	0.249970	0.625335
2	1	0.623994	0.259157	0.250026	0.623994
3	2	0.621151	0.250321	0.250086	0.621151
4	3	0.624116	0.246338	0.250185	0.624116
5	4	0.622248	0.257902	0.250351	0.622248
6	5	0.623060	0.255065	0.250613	0.623060
7	6	0.621029	0.257598	0.250676	0.621029
8	7	0.617860	0.245523	0.250913	0.617860
9	8	0.618469	0.254804	0.251203	0.618469
10	9	0.617575	0.250996	0.251380	0.617575
11	10	0.615869	0.258224	0.251461	0.615869
12	11	0.613431	0.248523	0.251559	0.613431
13	12	0.612741	0.252945	0.251728	0.612741
14	13	0.615422	0.253279	0.251767	0.615422
15	14	0.616763	0.256349	0.251779	0.616763
16	15	0.617250	0.255349	0.251775	0.617250
17	16	0.619485	0.251896	0.251708	0.619485
18	17	0.616357	0.249496	0.251683	0.616357
19	18	0.615463	0.247833	0.251742	0.615463
20	19	0.619200	0.251050	0.251905	0.619200
21	20	0.620947	0.256376	0.252069	0.620947
22	21	0.618469	0.251323	0.252217	0.618469
23	22	0.617575	0.246073	0.252493	0.617575
24	23	0.617169	0.251224	0.252675	0.617169
25	24	0.617088	0.256647	0.252805	0.617088
26	25	0.618347	0.258772	0.252861	0.618347
27	26	0.617291	0.252187	0.252967	0.617291
28	27	0.617047	0.244261	0.253126	0.617047
29	28	0.616966	0.238236	0.253422	0.616966
30	29	0.616844	0.250176	0.253682	0.616844
31	30	0.617372	0.237100	0.254036	0.617372
32	31	0.615707	0.251720	0.254370	0.615707
33	32	0.615381	0.243298	0.254650	0.615381
34	33	0.615260	0.251163	0.254854	0.615260
35	34	0.615341	0.260341	0.254928	0.615341
36	35	0.615260	0.237549	0.255077	0.615260
37	36	0.615056	0.245535	0.255191	0.615056
38	37	0.614772	0.242612	0.255261	0.614772
39	38	0.614894	0.249987	0.255313	0.614894
40	39	0.614691	0.240489	0.255366	0.614691
41	40	0.615260	0.243316	0.255413	0.615260
42	41	0.614731	0.246711	0.255491	0.614731
43	42	0.615422	0.256790	0.255486	0.615422
44	43	0.614894	0.244422	0.255498	0.614894
45	44	0.615260	0.247275	0.255536	0.615260
46	45	0.615056	0.253403	0.255511	0.615056
47	46	0.615219	0.248981	0.255497	0.615219
48	47	0.615503	0.249915	0.255492	0.615503
49	48	0.615585	0.251845	0.255482	0.615585
50	49	0.615544	0.247837	0.255474	0.615544
