# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-22T17:19:02
# UUID: 2dba5792-e2e9-4268-a42a-6335f7f6e65c
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3618 rows x 26 features
# Positives:   258 (7.1%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.678014	0.234371	0.253810	0.678014
2	1	0.678416	0.245668	0.253897	0.678416
3	2	0.673651	0.245944	0.253890	0.673651
4	3	0.668657	0.244762	0.253986	0.668657
5	4	0.667222	0.240548	0.253741	0.667222
6	5	0.670149	0.242023	0.253395	0.670149
7	6	0.670666	0.233525	0.253425	0.670666
8	7	0.671297	0.232297	0.253748	0.671297
9	8	0.666303	0.240564	0.254019	0.666303
10	9	0.661137	0.251739	0.253889	0.661137
11	10	0.655568	0.239432	0.253938	0.655568
12	11	0.653789	0.239785	0.254096	0.653789
13	12	0.654191	0.245944	0.253903	0.654191
14	13	0.655798	0.242475	0.253627	0.655798
15	14	0.658266	0.238283	0.253321	0.658266
16	15	0.658324	0.250912	0.252857	0.658324
17	16	0.658611	0.239777	0.252563	0.658611
18	17	0.658955	0.239864	0.252236	0.658955
19	18	0.658840	0.246656	0.252110	0.658840
20	19	0.657463	0.239356	0.252043	0.657463
21	20	0.656831	0.238915	0.252056	0.656831
22	21	0.657348	0.248446	0.251995	0.657348
23	22	0.657520	0.245776	0.251927	0.657520
24	23	0.659816	0.238000	0.251852	0.659816
25	24	0.659989	0.225644	0.251997	0.659989
26	25	0.660907	0.241755	0.252182	0.660907
27	26	0.661366	0.234051	0.252458	0.661366
28	27	0.661251	0.243955	0.252588	0.661251
29	28	0.662113	0.249094	0.252653	0.662113
30	29	0.662055	0.235411	0.252754	0.662055
31	30	0.662227	0.228225	0.252956	0.662227
32	31	0.662744	0.238200	0.253070	0.662744
33	32	0.657807	0.237571	0.253179	0.657807
34	33	0.657463	0.236194	0.253266	0.657463
35	34	0.657463	0.241345	0.253326	0.657463
36	35	0.657750	0.234476	0.253420	0.657750
37	36	0.657865	0.240040	0.253465	0.657865
38	37	0.657750	0.243929	0.253495	0.657750
39	38	0.660218	0.234589	0.253504	0.660218
40	39	0.663031	0.247382	0.253509	0.663031
41	40	0.659931	0.233427	0.253526	0.659931
42	41	0.659357	0.238388	0.253532	0.659357
43	42	0.662572	0.224459	0.253545	0.662572
44	43	0.657750	0.234096	0.253583	0.657750
45	44	0.657176	0.263550	0.253558	0.657176
46	45	0.657577	0.228342	0.253546	0.657577
47	46	0.657176	0.248561	0.253540	0.657176
48	47	0.657233	0.240633	0.253537	0.657233
49	48	0.656831	0.231506	0.253539	0.656831
50	49	0.661940	0.231710	0.253532	0.661940
