# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-13T20:26:53
# UUID: e2ba9818-fda5-4a16-bc8a-839e88ca9795
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3612 rows x 26 features
# Positives:   260 (7.2%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.737428	0.243869	0.240489	0.737428
2	1	0.736108	0.247579	0.240654	0.736108
3	2	0.735247	0.241632	0.240837	0.735247
4	3	0.735936	0.251324	0.240884	0.735936
5	4	0.738863	0.237855	0.240727	0.738863
6	5	0.741045	0.229121	0.240179	0.741045
7	6	0.741791	0.258776	0.239885	0.741791
8	7	0.733984	0.244479	0.239532	0.733984
9	8	0.726980	0.238927	0.239150	0.726980
10	9	0.720551	0.249526	0.238656	0.720551
11	10	0.731803	0.250504	0.238255	0.731803
12	11	0.720666	0.243926	0.238121	0.720666
13	12	0.721355	0.264189	0.237973	0.721355
14	13	0.716877	0.249520	0.237999	0.716877
15	14	0.716131	0.265061	0.238052	0.716131
16	15	0.715729	0.255199	0.238140	0.715729
17	16	0.715442	0.238477	0.238329	0.715442
18	17	0.715155	0.239885	0.238571	0.715155
19	18	0.714983	0.246858	0.238720	0.714983
20	19	0.714638	0.242268	0.238951	0.714638
21	20	0.713548	0.249001	0.239119	0.713548
22	21	0.713835	0.234187	0.239156	0.713835
23	22	0.714064	0.247131	0.239148	0.714064
24	23	0.713318	0.250695	0.239186	0.713318
25	24	0.713375	0.244909	0.239194	0.713375
26	25	0.713490	0.242791	0.239244	0.713490
27	26	0.713720	0.241419	0.239301	0.713720
28	27	0.713548	0.246800	0.239343	0.713548
29	28	0.713433	0.249782	0.239404	0.713433
30	29	0.713375	0.251121	0.239448	0.713375
31	30	0.713031	0.247062	0.239438	0.713031
32	31	0.713031	0.246655	0.239470	0.713031
33	32	0.713605	0.250750	0.239434	0.713605
34	33	0.713318	0.239619	0.239447	0.713318
35	34	0.713261	0.246695	0.239435	0.713261
36	35	0.713088	0.239085	0.239413	0.713088
37	36	0.713375	0.248892	0.239399	0.713375
38	37	0.713318	0.234661	0.239387	0.713318
39	38	0.713548	0.255170	0.239355	0.713548
40	39	0.713605	0.241113	0.239343	0.713605
41	40	0.713605	0.240314	0.239287	0.713605
42	41	0.713490	0.247989	0.239266	0.713490
43	42	0.713203	0.242435	0.239239	0.713203
44	43	0.713433	0.252097	0.239212	0.713433
45	44	0.713375	0.249247	0.239200	0.713375
46	45	0.713433	0.244211	0.239180	0.713433
47	46	0.713605	0.251478	0.239197	0.713605
48	47	0.713261	0.245124	0.239186	0.713261
49	48	0.713662	0.252388	0.239179	0.713662
50	49	0.713490	0.240666	0.239179	0.713490
