# metric: mean |SHAP|
rank,feature,value
1,inappropriate_lighting_today,0.02277269
2,menstruation_today,0.02160329
3,exercise_today,0.01281864
4,exercise_as_trigger_today,0.00832529
5,specific_smells_today,0.00806127
6,stress_today,0.00725200
7,sunlight_today,0.00565071
8,no_exercise_today,0.00555770
9,noise_today,0.00530328
10,lack_of_sleep_today,0.00519880
11,any_sleep_issue_today,0.00517714
12,cheese_chocolate_today,0.00501241
13,dow,0.00471851
14,excessive_smoking_today,0.00413214
15,irregular_meals_today,0.00394367
16,moderate_exercise_min,0.00334864
17,weather_change_today,0.00327151
18,ovulation_today,0.00260815
19,physical_fatigue_today,0.00255716
20,emotional_changes_today,0.00240471
21,travel_today,0.00202303
22,alcohol_today,0.00201604
23,overeating_today,0.00196452
24,oversleeping_today,0.00190611
25,excessive_caffeine_today,0.00187280
26,vigorous_exercise_min,0.00117256
