# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-11T01:59:53
# UUID: d2d7094e-bc7a-4723-8810-e031f371429e
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 331 rows x 31 features
# Positives:   22 (6.6%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 2
#   n_estimators_validation = 2
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.467742	0.250145	0.230823	0.467742
2	1	0.467742	0.252356	0.230747	0.467742
3	2	0.467742	0.253483	0.230485	0.467742
4	3	0.467742	0.252943	0.230157	0.467742
5	4	0.483871	0.259334	0.229338	0.483871
6	5	0.483871	0.250530	0.228799	0.483871
7	6	0.532258	0.261902	0.228277	0.532258
8	7	0.524194	0.254031	0.228097	0.524194
9	8	0.532258	0.249317	0.227977	0.532258
10	9	0.532258	0.262707	0.227648	0.532258
11	10	0.532258	0.254482	0.227501	0.532258
12	11	0.540323	0.249642	0.227415	0.540323
13	12	0.548387	0.253057	0.227490	0.548387
14	13	0.548387	0.258808	0.227463	0.548387
15	14	0.548387	0.248236	0.227536	0.548387
16	15	0.564516	0.248315	0.227572	0.564516
17	16	0.564516	0.252778	0.227487	0.564516
18	17	0.572581	0.247818	0.227557	0.572581
19	18	0.572581	0.247151	0.227472	0.572581
20	19	0.612903	0.248300	0.227454	0.612903
21	20	0.661290	0.248936	0.227518	0.661290
22	21	0.645161	0.248025	0.227512	0.645161
23	22	0.677419	0.249806	0.227543	0.677419
24	23	0.677419	0.248509	0.227565	0.677419
25	24	0.661290	0.248019	0.227647	0.661290
26	25	0.677419	0.249114	0.227694	0.677419
27	26	0.677419	0.248403	0.227789	0.677419
28	27	0.629032	0.248698	0.227841	0.629032
29	28	0.564516	0.248028	0.227867	0.564516
30	29	0.556452	0.247982	0.227988	0.556452
31	30	0.548387	0.247579	0.228091	0.548387
32	31	0.564516	0.249232	0.228101	0.564516
33	32	0.556452	0.248140	0.228158	0.556452
34	33	0.548387	0.247145	0.228259	0.548387
35	34	0.556452	0.248400	0.228214	0.556452
36	35	0.556452	0.246745	0.228299	0.556452
37	36	0.556452	0.247193	0.228226	0.556452
38	37	0.548387	0.248117	0.228286	0.548387
39	38	0.540323	0.247409	0.228373	0.540323
40	39	0.564516	0.250416	0.228287	0.564516
41	40	0.556452	0.248995	0.228283	0.556452
42	41	0.564516	0.248097	0.228324	0.564516
43	42	0.556452	0.248681	0.228294	0.556452
44	43	0.556452	0.248475	0.228290	0.556452
45	44	0.556452	0.248068	0.228277	0.556452
46	45	0.556452	0.248158	0.228298	0.556452
47	46	0.548387	0.247743	0.228329	0.548387
48	47	0.556452	0.247504	0.228305	0.556452
49	48	0.548387	0.247212	0.228337	0.548387
50	49	0.548387	0.247731	0.228324	0.548387
