# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-11T01:16:13
# UUID: 00ca2b39-e4dd-432d-8ed0-45735d90537a
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 4282 rows x 31 features
# Positives:   315 (7.4%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 2
#   n_estimators_validation = 2
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.621110	0.245772	0.250877	0.621110
2	1	0.618550	0.258687	0.250873	0.618550
3	2	0.614203	0.250449	0.250859	0.614203
4	3	0.620744	0.247380	0.250893	0.620744
5	4	0.618713	0.259165	0.250739	0.618713
6	5	0.611644	0.255498	0.250358	0.611644
7	6	0.613350	0.260022	0.249952	0.613350
8	7	0.619444	0.245706	0.249949	0.619444
9	8	0.618022	0.256841	0.249934	0.618022
10	9	0.620094	0.250461	0.249990	0.620094
11	10	0.621922	0.260479	0.250133	0.621922
12	11	0.618022	0.247160	0.250383	0.618022
13	12	0.614528	0.254192	0.250672	0.614528
14	13	0.615585	0.253867	0.250803	0.615585
15	14	0.614975	0.253680	0.250775	0.614975
16	15	0.614813	0.255703	0.250690	0.614813
17	16	0.616844	0.251449	0.250639	0.616844
18	17	0.622004	0.250576	0.250609	0.622004
19	18	0.621557	0.248593	0.250677	0.621557
20	19	0.621354	0.251870	0.250655	0.621354
21	20	0.628504	0.254426	0.250677	0.628504
22	21	0.633379	0.252683	0.250557	0.633379
23	22	0.633176	0.247291	0.250551	0.633176
24	23	0.631186	0.252128	0.250574	0.631186
25	24	0.631023	0.259464	0.250470	0.631023
26	25	0.629967	0.260511	0.250346	0.629967
27	26	0.630048	0.254664	0.250308	0.630048
28	27	0.627529	0.247060	0.250231	0.627529
29	28	0.628585	0.239785	0.250334	0.628585
30	29	0.624482	0.250375	0.250378	0.624482
31	30	0.626310	0.238211	0.250507	0.626310
32	31	0.624685	0.251520	0.250654	0.624685
33	32	0.624848	0.242190	0.250813	0.624848
34	33	0.623344	0.247406	0.251028	0.623344
35	34	0.622288	0.260420	0.251172	0.622288
36	35	0.621882	0.238050	0.251394	0.621882
37	36	0.622166	0.246130	0.251587	0.622166
38	37	0.620785	0.242064	0.251814	0.620785
39	38	0.620622	0.249407	0.251954	0.620622
40	39	0.620785	0.239720	0.252157	0.620785
41	40	0.620541	0.245265	0.252284	0.620541
42	41	0.620541	0.247672	0.252367	0.620541
43	42	0.620541	0.259629	0.252437	0.620541
44	43	0.620541	0.244539	0.252481	0.620541
45	44	0.620419	0.248897	0.252549	0.620419
46	45	0.619972	0.255910	0.252580	0.619972
47	46	0.620582	0.250945	0.252556	0.620582
48	47	0.620176	0.248962	0.252600	0.620176
49	48	0.620054	0.252668	0.252585	0.620054
50	49	0.620094	0.246518	0.252572	0.620094
