# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-11T01:18:53
# UUID: 185687d2-4c49-4aad-bdae-f8e68efe380d
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3612 rows x 31 features
# Positives:   260 (7.2%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 2
#   n_estimators_validation = 2
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.751263	0.244037	0.241460	0.751263
2	1	0.751263	0.249185	0.241697	0.751263
3	2	0.752755	0.242167	0.241842	0.752755
4	3	0.753387	0.253164	0.241919	0.753387
5	4	0.753272	0.238291	0.241515	0.753272
6	5	0.750804	0.231494	0.240872	0.750804
7	6	0.749828	0.254605	0.240662	0.749828
8	7	0.749943	0.245419	0.240198	0.749943
9	8	0.750230	0.239440	0.239677	0.750230
10	9	0.750402	0.249165	0.239135	0.750402
11	10	0.750574	0.253194	0.238812	0.750574
12	11	0.748565	0.242740	0.238552	0.748565
13	12	0.745121	0.264340	0.238405	0.745121
14	13	0.748393	0.248909	0.238286	0.748393
15	14	0.748278	0.265310	0.238339	0.748278
16	15	0.744948	0.255024	0.238413	0.744948
17	16	0.747819	0.238393	0.238487	0.747819
18	17	0.743456	0.239375	0.238661	0.743456
19	18	0.733467	0.249632	0.238780	0.733467
20	19	0.732606	0.242805	0.239031	0.732606
21	20	0.731803	0.248953	0.239146	0.731803
22	21	0.732319	0.235607	0.239178	0.732319
23	22	0.735476	0.247696	0.239183	0.735476
24	23	0.732319	0.249738	0.239260	0.732319
25	24	0.732606	0.244725	0.239318	0.732606
26	25	0.732721	0.243363	0.239363	0.732721
27	26	0.735706	0.243470	0.239446	0.735706
28	27	0.736452	0.246082	0.239452	0.736452
29	28	0.734386	0.251462	0.239537	0.734386
30	29	0.736165	0.250200	0.239607	0.736165
31	30	0.731688	0.245528	0.239701	0.731688
32	31	0.736510	0.246680	0.239725	0.736510
33	32	0.735419	0.251280	0.239702	0.735419
34	33	0.731515	0.240533	0.239760	0.731515
35	34	0.734214	0.246153	0.239717	0.734214
36	35	0.731803	0.238512	0.239749	0.731803
37	36	0.729793	0.250904	0.239733	0.729793
38	37	0.732204	0.234312	0.239722	0.732204
39	38	0.732434	0.255412	0.239653	0.732434
40	39	0.730023	0.241206	0.239631	0.730023
41	40	0.730023	0.241161	0.239581	0.730023
42	41	0.732606	0.247697	0.239505	0.732606
43	42	0.732319	0.243316	0.239488	0.732319
44	43	0.730654	0.250124	0.239443	0.730654
45	44	0.732721	0.249937	0.239430	0.732721
46	45	0.732721	0.244230	0.239428	0.732721
47	46	0.732434	0.252165	0.239440	0.732434
48	47	0.735017	0.246178	0.239402	0.735017
49	48	0.734845	0.251224	0.239405	0.734845
50	49	0.734902	0.239813	0.239417	0.734902
