# metric: mean |SHAP|
rank,feature,value
1,menstruation_today,0.03683932
2,inappropriate_lighting_today,0.02692126
3,specific_smells_today,0.00921137
4,emotional_changes_today,0.00834370
5,excessive_smoking_today,0.00705742
6,overeating_today,0.00688135
7,ovulation_today,0.00632084
8,stress_today,0.00581575
9,noise_today,0.00503802
10,sunlight_today,0.00496970
11,oversleeping_today,0.00487747
12,alcohol_today,0.00484425
13,no_exercise_today,0.00473174
14,cheese_chocolate_today,0.00464356
15,irregular_meals_today,0.00456376
16,lack_of_sleep_today,0.00454582
17,any_sleep_issue_today,0.00408065
18,exercise_as_trigger_today,0.00365797
19,travel_today,0.00337142
20,physical_fatigue_today,0.00243998
21,weather_change_today,0.00223552
22,excessive_caffeine_today,0.00186191
23,moderate_exercise_min,0.00184858
24,dow,0.00101767
25,exercise_today,0.00093222
26,vigorous_exercise_min,0.00070380
