# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-13T21:51:31
# UUID: 6f57cc90-3716-4341-b213-60e7f991b791
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 331 rows x 6 features
# Positives:   22 (6.6%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.500000	0.254299	0.229175	0.500000
2	1	0.500000	0.248959	0.229166	0.500000
3	2	0.500000	0.249190	0.229154	0.500000
4	3	0.500000	0.247605	0.229174	0.500000
5	4	0.500000	0.263351	0.229231	0.500000
6	5	0.500000	0.249432	0.229307	0.500000
7	6	0.500000	0.247788	0.229354	0.500000
8	7	0.500000	0.278651	0.229411	0.500000
9	8	0.500000	0.248662	0.229433	0.500000
10	9	0.500000	0.273262	0.229439	0.500000
11	10	0.500000	0.259277	0.229445	0.500000
12	11	0.500000	0.245613	0.229455	0.500000
13	12	0.500000	0.250867	0.229447	0.500000
14	13	0.500000	0.249610	0.229460	0.500000
15	14	0.500000	0.249402	0.229462	0.500000
16	15	0.500000	0.247441	0.229465	0.500000
17	16	0.500000	0.252541	0.229465	0.500000
18	17	0.500000	0.246148	0.229505	0.500000
19	18	0.500000	0.246263	0.229518	0.500000
20	19	0.500000	0.248439	0.229507	0.500000
21	20	0.500000	0.248364	0.229547	0.500000
22	21	0.500000	0.248383	0.229565	0.500000
23	22	0.500000	0.249859	0.229559	0.500000
24	23	0.500000	0.248098	0.229596	0.500000
25	24	0.500000	0.248236	0.229599	0.500000
26	25	0.500000	0.248443	0.229628	0.500000
27	26	0.500000	0.248263	0.229621	0.500000
28	27	0.500000	0.249867	0.229620	0.500000
29	28	0.500000	0.248412	0.229623	0.500000
30	29	0.500000	0.248494	0.229640	0.500000
31	30	0.500000	0.248052	0.229647	0.500000
32	31	0.500000	0.248402	0.229643	0.500000
33	32	0.500000	0.247215	0.229637	0.500000
34	33	0.500000	0.249474	0.229653	0.500000
35	34	0.500000	0.248609	0.229634	0.500000
36	35	0.500000	0.246827	0.229632	0.500000
37	36	0.500000	0.246512	0.229660	0.500000
38	37	0.500000	0.246982	0.229661	0.500000
39	38	0.500000	0.248263	0.229658	0.500000
40	39	0.500000	0.248448	0.229656	0.500000
41	40	0.500000	0.248787	0.229653	0.500000
42	41	0.500000	0.246509	0.229660	0.500000
43	42	0.500000	0.249035	0.229660	0.500000
44	43	0.500000	0.248139	0.229657	0.500000
45	44	0.500000	0.250239	0.229639	0.500000
46	45	0.500000	0.248167	0.229649	0.500000
47	46	0.500000	0.247956	0.229650	0.500000
48	47	0.500000	0.247911	0.229664	0.500000
49	48	0.500000	0.246535	0.229640	0.500000
50	49	0.500000	0.248157	0.229666	0.500000
