# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-13T21:52:39
# UUID: 6789351f-cb6a-4c4d-94cf-607519bf1f3c
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 1213 rows x 6 features
# Positives:   95 (7.8%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.650298	0.256890	0.250962	0.650298
2	1	0.650298	0.279122	0.251039	0.650298
3	2	0.650794	0.270066	0.251206	0.650794
4	3	0.647817	0.282531	0.251359	0.647817
5	4	0.639385	0.266225	0.251552	0.639385
6	5	0.650794	0.266839	0.251606	0.650794
7	6	0.649306	0.270237	0.251570	0.649306
8	7	0.640873	0.269056	0.251559	0.640873
9	8	0.650794	0.276801	0.251590	0.650794
10	9	0.649306	0.266426	0.251671	0.649306
11	10	0.649306	0.267290	0.251900	0.649306
12	11	0.659226	0.280144	0.252146	0.659226
13	12	0.649306	0.277608	0.252368	0.649306
14	13	0.649306	0.265102	0.252511	0.649306
15	14	0.647817	0.275829	0.252722	0.647817
16	15	0.649306	0.271486	0.252874	0.649306
17	16	0.657738	0.266293	0.253015	0.657738
18	17	0.649306	0.263048	0.253148	0.649306
19	18	0.649306	0.269719	0.253249	0.649306
20	19	0.650794	0.265320	0.253333	0.650794
21	20	0.659226	0.282279	0.253436	0.659226
22	21	0.650794	0.277529	0.253472	0.650794
23	22	0.647817	0.265578	0.253450	0.647817
24	23	0.649306	0.264294	0.253474	0.649306
25	24	0.649306	0.261600	0.253474	0.649306
26	25	0.649306	0.276376	0.253413	0.649306
27	26	0.649306	0.272516	0.253367	0.649306
28	27	0.637897	0.259159	0.253326	0.637897
29	28	0.649306	0.262199	0.253300	0.649306
30	29	0.639385	0.270635	0.253261	0.639385
31	30	0.647817	0.280434	0.253208	0.647817
32	31	0.649306	0.271276	0.253140	0.649306
33	32	0.640873	0.274362	0.253111	0.640873
34	33	0.659226	0.261988	0.253069	0.659226
35	34	0.649306	0.257140	0.253065	0.649306
36	35	0.649306	0.266744	0.253035	0.649306
37	36	0.657738	0.264249	0.253061	0.657738
38	37	0.649306	0.259287	0.253034	0.649306
39	38	0.647817	0.268172	0.253055	0.647817
40	39	0.650794	0.259367	0.253044	0.650794
41	40	0.649306	0.259932	0.253062	0.649306
42	41	0.649306	0.267198	0.253083	0.649306
43	42	0.649306	0.262357	0.253088	0.649306
44	43	0.649306	0.263891	0.253084	0.649306
45	44	0.639385	0.268366	0.253082	0.639385
46	45	0.650794	0.269161	0.253096	0.650794
47	46	0.649306	0.258686	0.253101	0.649306
48	47	0.650794	0.268425	0.253078	0.650794
49	48	0.647817	0.262645	0.253097	0.647817
50	49	0.659226	0.266825	0.253088	0.659226
