# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-13T20:35:44
# UUID: 301b6ec9-cf87-4de2-aa2a-8cabfab83029
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3160 rows x 6 features
# Positives:   227 (7.2%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.592373	0.246160	0.269617	0.592373
2	1	0.588144	0.249616	0.269877	0.588144
3	2	0.587995	0.262247	0.269880	0.587995
4	3	0.592224	0.257338	0.269780	0.592224
5	4	0.580427	0.254347	0.269532	0.580427
6	5	0.587327	0.245721	0.269407	0.587327
7	6	0.586511	0.254586	0.269410	0.586511
8	7	0.587921	0.254378	0.269126	0.587921
9	8	0.594079	0.256945	0.268631	0.594079
10	9	0.586511	0.250972	0.268661	0.586511
11	10	0.594079	0.247166	0.268960	0.594079
12	11	0.587624	0.247541	0.269368	0.587624
13	12	0.592966	0.251709	0.269700	0.592966
14	13	0.588737	0.248131	0.269999	0.588737
15	14	0.582282	0.251692	0.270033	0.582282
16	15	0.582282	0.253051	0.269730	0.582282
17	16	0.587624	0.253929	0.269474	0.587624
18	17	0.593782	0.252582	0.269192	0.593782
19	18	0.587624	0.250151	0.269057	0.587624
20	19	0.587624	0.255579	0.268897	0.587624
21	20	0.587327	0.253615	0.268841	0.587327
22	21	0.586511	0.253470	0.268730	0.586511
23	22	0.592670	0.248832	0.268689	0.592670
24	23	0.582579	0.253166	0.268689	0.582579
25	24	0.587624	0.247649	0.268734	0.587624
26	25	0.588737	0.246118	0.268840	0.588737
27	26	0.587624	0.254581	0.268894	0.587624
28	27	0.587327	0.248659	0.268989	0.587327
29	28	0.587624	0.246688	0.269028	0.587624
30	29	0.587327	0.246890	0.269098	0.587327
31	30	0.587624	0.256036	0.269088	0.587624
32	31	0.587624	0.251602	0.269089	0.587624
33	32	0.588737	0.265255	0.268962	0.588737
34	33	0.587327	0.249184	0.268845	0.587327
35	34	0.588737	0.257637	0.268668	0.588737
36	35	0.587327	0.263762	0.268527	0.587327
37	36	0.592966	0.241138	0.268453	0.592966
38	37	0.587327	0.243007	0.268410	0.587327
39	38	0.592670	0.251557	0.268416	0.592670
40	39	0.592670	0.257859	0.268377	0.592670
41	40	0.592966	0.250219	0.268379	0.592966
42	41	0.582282	0.249175	0.268372	0.582282
43	42	0.586808	0.255940	0.268364	0.586808
44	43	0.586511	0.250978	0.268369	0.586511
45	44	0.587624	0.256999	0.268358	0.587624
46	45	0.587624	0.250123	0.268345	0.587624
47	46	0.587624	0.240605	0.268347	0.587624
48	47	0.587624	0.249248	0.268362	0.587624
49	48	0.582282	0.243167	0.268356	0.582282
50	49	0.587327	0.252883	0.268353	0.587327
