# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-22T17:29:41
# UUID: 8d94e6c2-9d46-4254-9d6d-dfa357522823
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3229 rows x 6 features
# Positives:   226 (7.0%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.603025	0.243652	0.246726	0.603025
2	1	0.605060	0.251216	0.246778	0.605060
3	2	0.605060	0.251643	0.246841	0.605060
4	3	0.605060	0.244847	0.246897	0.605060
5	4	0.605060	0.252780	0.246985	0.605060
6	5	0.605060	0.246500	0.246997	0.605060
7	6	0.607096	0.243445	0.247120	0.607096
8	7	0.605060	0.243029	0.247190	0.605060
9	8	0.605060	0.239471	0.247423	0.605060
10	9	0.605060	0.241769	0.247685	0.605060
11	10	0.605060	0.244792	0.247885	0.605060
12	11	0.607096	0.245857	0.248123	0.607096
13	12	0.605060	0.252738	0.248144	0.605060
14	13	0.605206	0.238985	0.248325	0.605206
15	14	0.605206	0.247274	0.248383	0.605206
16	15	0.605206	0.230587	0.248675	0.605206
17	16	0.603170	0.257292	0.248783	0.603170
18	17	0.603170	0.240093	0.248880	0.603170
19	18	0.605206	0.248331	0.248891	0.605206
20	19	0.607242	0.266042	0.248667	0.607242
21	20	0.605206	0.254354	0.248395	0.605206
22	21	0.605060	0.235560	0.248297	0.605060
23	22	0.603025	0.229009	0.248351	0.603025
24	23	0.605060	0.234371	0.248439	0.605060
25	24	0.605060	0.254342	0.248512	0.605060
26	25	0.605060	0.243532	0.248583	0.605060
27	26	0.605060	0.252934	0.248597	0.605060
28	27	0.605060	0.242305	0.248668	0.605060
29	28	0.605060	0.240387	0.248739	0.605060
30	29	0.605060	0.248780	0.248786	0.605060
31	30	0.605060	0.231605	0.248921	0.605060
32	31	0.605060	0.244042	0.249049	0.605060
33	32	0.607096	0.244818	0.249167	0.607096
34	33	0.605060	0.232768	0.249310	0.605060
35	34	0.605060	0.242925	0.249433	0.605060
36	35	0.605060	0.242225	0.249536	0.605060
37	36	0.607096	0.236974	0.249605	0.607096
38	37	0.605060	0.241364	0.249707	0.605060
39	38	0.605060	0.247816	0.249769	0.605060
40	39	0.605060	0.237654	0.249840	0.605060
41	40	0.607096	0.238040	0.249859	0.607096
42	41	0.605060	0.234006	0.249944	0.605060
43	42	0.605060	0.246768	0.249941	0.605060
44	43	0.603025	0.235042	0.249984	0.603025
45	44	0.607096	0.260228	0.249968	0.607096
46	45	0.605060	0.236194	0.249982	0.605060
47	46	0.607096	0.237587	0.249984	0.607096
48	47	0.605060	0.243179	0.250003	0.605060
49	48	0.605060	0.247766	0.249999	0.605060
50	49	0.605060	0.243059	0.249980	0.605060
