# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-13T23:06:35
# UUID: 222e6970-34ce-4e85-8fd3-881f383ebc53
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3161 rows x 6 features
# Positives:   227 (7.2%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	10	0.676658	0.244872	0.248593	0.676658
2	11	0.658777	0.242133	0.248587	0.658777
3	12	0.659074	0.245351	0.248547	0.659074
4	13	0.659222	0.247879	0.248419	0.659222
5	14	0.658851	0.251413	0.248207	0.658851
6	15	0.676732	0.246265	0.248070	0.676732
7	16	0.641045	0.256980	0.247834	0.641045
8	17	0.659964	0.250664	0.247686	0.659964
9	18	0.642232	0.249110	0.247586	0.642232
10	19	0.642009	0.246627	0.247550	0.642009
11	20	0.641712	0.258709	0.247618	0.641712
12	21	0.659371	0.250702	0.247713	0.659371
13	22	0.659371	0.247899	0.247817	0.659371
14	23	0.659297	0.251375	0.247897	0.659297
15	24	0.659445	0.255068	0.248045	0.659445
16	25	0.658703	0.246275	0.248168	0.658703
17	26	0.677103	0.258549	0.248294	0.677103
18	27	0.659148	0.245164	0.248330	0.659148
19	28	0.659148	0.248358	0.248431	0.659148
20	29	0.659148	0.244849	0.248554	0.659148
21	30	0.659297	0.250534	0.248541	0.659297
22	31	0.659371	0.250515	0.248545	0.659371
23	32	0.655809	0.249366	0.248552	0.655809
24	33	0.674136	0.254174	0.248602	0.674136
25	34	0.655958	0.252152	0.248630	0.655958
26	35	0.655587	0.257639	0.248784	0.655587
27	36	0.673468	0.265364	0.248830	0.673468
28	37	0.655513	0.258320	0.248947	0.655513
29	38	0.655290	0.264809	0.249023	0.655290
30	39	0.655884	0.248044	0.249160	0.655884
31	40	0.638151	0.253688	0.249301	0.638151
32	41	0.673987	0.243069	0.249466	0.673987
33	42	0.655809	0.247954	0.249585	0.655809
34	43	0.655809	0.246933	0.249713	0.655809
35	44	0.656106	0.248302	0.249832	0.656106
36	45	0.673765	0.248654	0.249923	0.673765
37	46	0.655809	0.248782	0.250018	0.655809
38	47	0.655513	0.244905	0.250119	0.655513
39	48	0.655809	0.254060	0.250202	0.655809
40	49	0.655142	0.245074	0.250299	0.655142
