# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-13T20:43:14
# UUID: 8fcbc13f-8bcc-4d69-9565-c4a3dce49723
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 4282 rows x 6 features
# Positives:   315 (7.4%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.577517	0.249755	0.256719	0.577517
2	1	0.577273	0.259786	0.256727	0.577273
3	2	0.577395	0.256111	0.256836	0.577395
4	3	0.577395	0.250887	0.257103	0.577395
5	4	0.584952	0.262077	0.257407	0.584952
6	5	0.585195	0.257327	0.257626	0.585195
7	6	0.577517	0.255623	0.257792	0.577517
8	7	0.577395	0.249079	0.258188	0.577395
9	8	0.569838	0.257814	0.258534	0.569838
10	9	0.577395	0.254269	0.258592	0.577395
11	10	0.577395	0.254534	0.258485	0.577395
12	11	0.577273	0.248221	0.258445	0.577273
13	12	0.577395	0.262320	0.258455	0.577395
14	13	0.577273	0.256235	0.258240	0.577273
15	14	0.577395	0.251865	0.258374	0.577395
16	15	0.577517	0.258424	0.258442	0.577517
17	16	0.576907	0.251926	0.258618	0.576907
18	17	0.584586	0.255705	0.258701	0.584586
19	18	0.576786	0.256333	0.258611	0.576786
20	19	0.576907	0.254417	0.258496	0.576907
21	20	0.584830	0.258989	0.258281	0.584830
22	21	0.576786	0.258985	0.257960	0.576786
23	22	0.576786	0.253640	0.257889	0.576786
24	23	0.569595	0.258328	0.257796	0.569595
25	24	0.584830	0.262409	0.257608	0.584830
26	25	0.576907	0.263493	0.257434	0.576907
27	26	0.576786	0.259297	0.257304	0.576786
28	27	0.577151	0.255991	0.257183	0.577151
29	28	0.576542	0.247393	0.257226	0.576542
30	29	0.569229	0.257684	0.257262	0.569229
31	30	0.577029	0.246964	0.257387	0.577029
32	31	0.576907	0.262301	0.257470	0.576907
33	32	0.577151	0.254234	0.257573	0.577151
34	33	0.569229	0.247874	0.257721	0.569229
35	34	0.577029	0.272238	0.257740	0.577029
36	35	0.576542	0.244690	0.257834	0.576542
37	36	0.576907	0.250252	0.257906	0.576907
38	37	0.577151	0.253257	0.257996	0.577151
39	38	0.576907	0.251433	0.258070	0.576907
40	39	0.569229	0.247480	0.258136	0.569229
41	40	0.569716	0.250156	0.258197	0.569716
42	41	0.577639	0.256365	0.258214	0.577639
43	42	0.577517	0.257045	0.258244	0.577517
44	43	0.577395	0.253903	0.258249	0.577395
45	44	0.585074	0.260024	0.258264	0.585074
46	45	0.577395	0.257140	0.258264	0.577395
47	46	0.577395	0.255459	0.258265	0.577395
48	47	0.577395	0.256713	0.258259	0.577395
49	48	0.577639	0.257964	0.258263	0.577639
50	49	0.577151	0.250576	0.258269	0.577151
