# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-22T17:33:19
# UUID: e39e75b1-2d2b-4a5b-b455-6a2d7475a369
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3618 rows x 6 features
# Positives:   258 (7.1%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.605511	0.240951	0.253163	0.605511
2	1	0.595924	0.250643	0.253229	0.595924
3	2	0.605855	0.247420	0.253345	0.605855
4	3	0.605855	0.244813	0.253660	0.605855
5	4	0.605855	0.243333	0.253900	0.605855
6	5	0.605855	0.247592	0.253946	0.605855
7	6	0.605855	0.244482	0.253882	0.605855
8	7	0.605511	0.238596	0.253795	0.605511
9	8	0.605855	0.243040	0.253771	0.605855
10	9	0.606200	0.253434	0.253627	0.606200
11	10	0.605855	0.247249	0.253533	0.605855
12	11	0.605855	0.244789	0.253417	0.605855
13	12	0.605855	0.253713	0.253029	0.605855
14	13	0.605511	0.248401	0.252638	0.605511
15	14	0.616131	0.241867	0.252239	0.616131
16	15	0.596269	0.247820	0.251875	0.596269
17	16	0.605511	0.250299	0.251620	0.605511
18	17	0.596269	0.247221	0.251433	0.596269
19	18	0.605855	0.246041	0.251339	0.605855
20	19	0.605855	0.244793	0.251350	0.605855
21	20	0.605511	0.244812	0.251364	0.605511
22	21	0.615786	0.256275	0.251380	0.615786
23	22	0.605855	0.251253	0.251394	0.605855
24	23	0.605855	0.246356	0.251390	0.605855
25	24	0.595580	0.235105	0.251428	0.595580
26	25	0.595924	0.239203	0.251566	0.595924
27	26	0.605855	0.241651	0.251724	0.605855
28	27	0.595924	0.248728	0.251809	0.595924
29	28	0.605855	0.250374	0.251869	0.605855
30	29	0.606200	0.243710	0.251939	0.606200
31	30	0.605855	0.234776	0.252082	0.605855
32	31	0.595580	0.243301	0.252156	0.595580
33	32	0.605855	0.244898	0.252242	0.605855
34	33	0.605855	0.244649	0.252329	0.605855
35	34	0.605855	0.248662	0.252339	0.605855
36	35	0.605855	0.241741	0.252378	0.605855
37	36	0.605855	0.244060	0.252401	0.605855
38	37	0.605511	0.250984	0.252419	0.605511
39	38	0.605855	0.240036	0.252428	0.605855
40	39	0.606200	0.251502	0.252417	0.606200
41	40	0.606200	0.236400	0.252421	0.606200
42	41	0.605855	0.243408	0.252403	0.605855
43	42	0.606200	0.232165	0.252424	0.606200
44	43	0.615786	0.246043	0.252429	0.615786
45	44	0.606200	0.256783	0.252431	0.606200
46	45	0.615442	0.234873	0.252419	0.615442
47	46	0.605855	0.249883	0.252421	0.605855
48	47	0.605855	0.247374	0.252422	0.605855
49	48	0.605855	0.238446	0.252407	0.605855
50	49	0.605855	0.239866	0.252412	0.605855
