target,feature_set,model,held_out,n_test,train_rate,auroc,auprc,within_cstat,within_ci_low,within_ci_high,within_k,observed_rate,mean_predicted,oe_ratio,citl,cal_slope,refit_alpha,auroc_ci_low,auroc_ci_high,oe_ratio_ci_low,oe_ratio_ci_high,cal_slope_ci_low,cal_slope_ci_high,refit_alpha_ci_low,refit_alpha_ci_high
headache,full_features,pooled_lr,uijeongbu,2308,0.2161,0.6615,0.3884,0.576,0.538,0.614,29,0.2539,0.2417,1.05,0.0122,0.882,-0.057,0.6361,0.6902,0.9798,1.1169,0.7246,1.0643,-0.2368,0.1417
headache,full_features,add0_stacked,uijeongbu,2308,0.2161,0.6357,0.3851,0.567,0.525,0.609,29,0.2539,0.177,1.435,0.0769,0.582,-0.114,0.6103,0.6646,1.341,1.5315,0.4723,0.7117,-0.3155,0.1033
headache,full_features,add1_tabpfn,uijeongbu,2308,0.2161,0.6698,0.4413,0.586,0.533,0.639,29,0.2539,0.2168,1.171,0.0371,1.135,0.385,0.6464,0.6974,1.0937,1.2476,0.9813,1.3301,0.1726,0.6347
headache,full_features,add4_window_mlp,uijeongbu,2308,0.2161,0.5881,0.3025,0.549,0.517,0.581,29,0.2539,0.2484,1.022,0.0055,0.47,-0.537,0.5638,0.6168,0.954,1.0949,0.3185,0.6827,-0.7211,-0.2953
headache,full_features,pooled_lr,dongtan,2170,0.2539,0.6044,0.2935,0.539,0.498,0.58,29,0.2161,0.2603,0.83,-0.0441,0.361,-0.898,0.5773,0.6338,0.7646,0.8971,0.255,0.4805,-1.0524,-0.725
headache,full_features,add0_stacked,dongtan,2170,0.2539,0.615,0.3204,0.54,0.494,0.586,29,0.2161,0.1654,1.307,0.0507,2.732,3.106,0.5832,0.6413,1.2077,1.4148,2.0577,3.3433,2.0039,4.1402
headache,full_features,add1_tabpfn,dongtan,2170,0.2539,0.6254,0.3498,0.529,0.482,0.577,29,0.2161,0.2217,0.975,-0.0056,0.727,-0.361,0.5969,0.6547,0.9026,1.0568,0.5732,0.8657,-0.5651,-0.1458
headache,full_features,add4_window_mlp,dongtan,2170,0.2539,0.5671,0.2696,0.488,0.442,0.535,29,0.2161,0.2815,0.768,-0.0654,0.32,-0.965,0.5377,0.5962,0.7087,0.83,0.1825,0.4701,-1.1167,-0.787
migraine,full_features,pooled_lr,uijeongbu,2308,0.0567,0.6912,0.1803,0.538,0.45,0.627,14,0.0858,0.0756,1.135,0.0102,0.359,-1.305,0.6514,0.7313,0.9703,1.2849,0.2488,0.4881,-1.648,-0.9495
migraine,full_features,add0_stacked,uijeongbu,2308,0.0567,0.6224,0.1275,0.457,0.359,0.556,14,0.0858,0.0556,1.542,0.0302,0.369,-1.186,0.5819,0.6651,1.3263,1.756,0.2584,0.4928,-1.56,-0.8037
migraine,full_features,add1_tabpfn,uijeongbu,2308,0.0567,0.728,0.2803,0.577,0.49,0.663,14,0.0858,0.0601,1.427,0.0257,0.756,-0.163,0.6875,0.7689,1.243,1.6139,0.6125,0.9251,-0.5713,0.2586
migraine,full_features,add4_window_mlp,uijeongbu,2308,0.0567,0.6967,0.1716,0.555,0.476,0.633,14,0.0858,0.0612,1.403,0.0246,0.442,-0.958,0.6595,0.738,1.2172,1.5975,0.3299,0.5807,-1.3234,-0.5929
migraine,full_features,pooled_lr,dongtan,2170,0.0858,0.7296,0.1664,0.542,0.479,0.605,10,0.0567,0.083,0.683,-0.0263,0.629,-1.209,0.6864,0.7695,0.5719,0.8032,0.5161,0.753,-1.532,-0.8819
migraine,full_features,add0_stacked,dongtan,2170,0.0858,0.7262,0.187,0.529,0.465,0.592,10,0.0567,0.06,0.944,-0.0034,1.957,2.407,0.6772,0.779,0.7899,1.1025,1.5725,2.4449,1.3535,3.6227
migraine,full_features,add1_tabpfn,dongtan,2170,0.0858,0.7852,0.2441,0.515,0.422,0.607,10,0.0567,0.0604,0.939,-0.0037,1.141,0.259,0.743,0.8267,0.7955,1.0878,0.9621,1.3426,-0.194,0.7219
migraine,full_features,add4_window_mlp,dongtan,2170,0.0858,0.7422,0.1467,0.521,0.458,0.585,10,0.0567,0.114,0.497,-0.0574,0.549,-1.524,0.6997,0.7853,0.4163,0.5764,0.4211,0.7122,-1.8184,-1.2247
