addition,target,feature_set,architecture,version,datasplit,splittype,hyperparameter,hp_strategy,hp_variant,threshold_mcc,threshold_sens,holdout_ts,cv_ts,holdout_AUROC,holdout_AUPRC,holdout_Brier Score,holdout_ECE10,holdout_Calibration Slope,holdout_MCC (Optimal),holdout_Sensitivity (>=0.5),holdout_Accuracy,holdout_Precision,holdout_Recall,holdout_F1,cv_AUROC,cv_AUPRC,cv_Brier Score,cv_ECE10,cv_Calibration Slope,cv_MCC (Cal-Optimal),cv_Sensitivity (>=0.5),cv_Accuracy,cv_Precision,cv_Recall,cv_F1
0,headache,full_features,stacked_2xgb_meta_lr,,70_15_15,chrono,HyperparameterTuned,pareto_AUROC_slope,auroc_max,0.220,0.250,2026-05-15 19:03:59,,0.405 [0.269 - 0.541],0.137 [0.075 - 0.223],0.144 [0.112 - 0.179],0.140 [0.092 - 0.194],-0.577 [-1.541 - 0.254],-0.191 [-0.335 - -0.043],0.262 [0.067 - 0.458],0.434 [0.346 - 0.522],0.074 [0.016 - 0.136],0.262 [0.067 - 0.458],0.114 [0.025 - 0.202],,,,,,,,,,,
0,headache,full_features,stacked_2xgb_meta_lr,,70_15_15,chrono,HyperparameterTuned,pareto_AUROC_slope,knee,0.210,0.230,2026-05-15 19:04:07,,0.410 [0.276 - 0.549],0.134 [0.076 - 0.212],0.141 [0.109 - 0.176],0.129 [0.078 - 0.187],-0.766 [-1.950 - 0.257],-0.106 [-0.276 - 0.065],0.365 [0.143 - 0.588],0.428 [0.346 - 0.507],0.107 [0.044 - 0.182],0.418 [0.214 - 0.632],0.169 [0.073 - 0.275],,,,,,,,,,,
0,headache,full_features,stacked_2xgb_meta_lr,,70_15_15,chrono,HyperparameterTuned,pareto_AUROC_slope,slope_closest,0.150,0.230,2026-05-15 19:04:14,,0.493 [0.342 - 0.643],0.196 [0.095 - 0.349],0.131 [0.099 - 0.167],0.092 [0.045 - 0.140],0.001 [-1.160 - 1.125],-0.004 [-0.174 - 0.158],0.364 [0.160 - 0.583],0.329 [0.250 - 0.404],0.139 [0.075 - 0.212],0.732 [0.526 - 0.933],0.233 [0.133 - 0.331],,,,,,,,,,,
0,headache,full_features,stacked_2xgb_meta_lr,,70_15_15,chrono,HyperparameterTuned,single_AUROC,HP020,0.420,0.220,2026-05-15 19:04:22,,0.503 [0.360 - 0.634],0.160 [0.090 - 0.251],0.139 [0.107 - 0.173],0.117 [0.070 - 0.165],-0.083 [-0.962 - 0.753],-0.084 [-0.126 - -0.044],0.471 [0.250 - 0.684],0.816 [0.750 - 0.875],0.000 [0.000 - 0.000],0.000 [0.000 - 0.000],0.000 [0.000 - 0.000],,,,,,,,,,,
0,headache,full_features,stacked_2xgb_meta_lr,,70_15_15,chrono,HyperparameterTuned,single_AUROC,HP050,0.420,0.220,2026-05-15 19:04:29,,0.503 [0.360 - 0.634],0.160 [0.090 - 0.251],0.139 [0.107 - 0.173],0.117 [0.070 - 0.165],-0.083 [-0.962 - 0.753],-0.084 [-0.126 - -0.044],0.471 [0.250 - 0.684],0.816 [0.750 - 0.875],0.000 [0.000 - 0.000],0.000 [0.000 - 0.000],0.000 [0.000 - 0.000],,,,,,,,,,,
0,headache,full_features,stacked_2xgb_meta_lr,,70_15_15,chrono,HyperparameterTuned,single_AUROC,HP100,0.360,0.250,2026-05-15 19:04:36,,0.487 [0.338 - 0.623],0.164 [0.088 - 0.271],0.140 [0.106 - 0.176],0.118 [0.070 - 0.169],-0.205 [-1.122 - 0.637],0.003 [-0.143 - 0.178],0.262 [0.067 - 0.471],0.787 [0.720 - 0.853],0.145 [0.000 - 0.364],0.104 [0.000 - 0.250],0.118 [0.000 - 0.278],,,,,,,,,,,
0,headache,full_features,stacked_2xgb_meta_lr,,70_15_15,chrono,HyperparameterTuned,single_AUROC,HP200,0.360,0.250,2026-05-15 19:04:43,,0.487 [0.338 - 0.623],0.164 [0.088 - 0.271],0.140 [0.106 - 0.176],0.118 [0.070 - 0.169],-0.205 [-1.122 - 0.637],0.003 [-0.143 - 0.178],0.262 [0.067 - 0.471],0.787 [0.720 - 0.853],0.145 [0.000 - 0.364],0.104 [0.000 - 0.250],0.118 [0.000 - 0.278],,,,,,,,,,,
0,headache,full_features,stacked_2xgb_meta_lr,,70_15_15,chrono,HyperparameterTuned,single_AUROC,HP500,0.340,0.240,2026-05-15 19:04:50,,0.487 [0.341 - 0.624],0.155 [0.086 - 0.245],0.139 [0.108 - 0.175],0.107 [0.058 - 0.159],-0.197 [-1.087 - 0.625],-0.088 [-0.182 - 0.053],0.365 [0.154 - 0.579],0.750 [0.676 - 0.824],0.058 [0.000 - 0.200],0.050 [0.000 - 0.167],0.053 [0.000 - 0.174],,,,,,,,,,,
0,headache,full_features,stacked_2xgb_meta_lr,,70_15_15,chrono,,,,0.310,0.210,2026-05-22 23:02:34,2026-05-15 19:08:14,0.507 [0.362 - 0.643],0.189 [0.094 - 0.317],0.129 [0.096 - 0.163],0.076 [0.031 - 0.124],0.190 [-0.831 - 1.228],0.016 [-0.129 - 0.206],0.417 [0.188 - 0.643],0.794 [0.728 - 0.860],0.157 [0.000 - 0.400],0.108 [0.000 - 0.263],0.124 [0.000 - 0.286],0.583 ± 0.056,0.313 ± 0.064,0.163 ± 0.023,0.048 ± 0.015,0.888 ± 0.769,0.118 ± 0.062,0.464 ± 0.079,0.732 ± 0.055,0.360 ± 0.144,0.218 ± 0.146,0.231 ± 0.068
0,headache,full_features,stacked_2xgb_meta_lr,,70_15_15,patient,HyperparameterTuned,pareto_AUROC_slope,auroc_max,0.260,0.280,2026-05-22 17:43:33,,0.626 [0.574 - 0.675],0.324 [0.253 - 0.401],0.160 [0.147 - 0.176],0.052 [0.027 - 0.079],1.029 [0.586 - 1.437],0.130 [0.056 - 0.208],0.482 [0.403 - 0.565],0.605 [0.570 - 0.641],0.271 [0.220 - 0.328],0.533 [0.454 - 0.618],0.359 [0.301 - 0.423],,,,,,,,,,,
