leaf_path,addition,autogluon_runtime_s,span_s,earliest_training_ts,latest_results_ts,n_training_logs,n_results_files,multi_day_gap,notes
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/HyperparameterTuned/pareto_AUROC_slope/auroc_max,0,,10519,2026-05-15T16:08:40,2026-05-15T19:03:59,2,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/HyperparameterTuned/pareto_AUROC_slope/knee,0,,10045,2026-05-15T16:16:42,2026-05-15T19:04:07,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/HyperparameterTuned/pareto_AUROC_slope/slope_closest,0,,10050,2026-05-15T16:16:44,2026-05-15T19:04:14,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/HyperparameterTuned/single_AUROC/HP020,0,,11955,2026-05-15T15:45:07,2026-05-15T19:04:22,2,2,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/HyperparameterTuned/single_AUROC/HP050,0,,9733,2026-05-15T16:22:16,2026-05-15T19:04:29,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/HyperparameterTuned/single_AUROC/HP100,0,,9738,2026-05-15T16:22:18,2026-05-15T19:04:36,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/HyperparameterTuned/single_AUROC/HP200,0,,9742,2026-05-15T16:22:21,2026-05-15T19:04:43,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/HyperparameterTuned/single_AUROC/HP500,0,,9747,2026-05-15T16:22:23,2026-05-15T19:04:50,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/NonHP,0,,860109,2026-05-13T00:07:25,2026-05-22T23:02:34,7,24,True,multi_day_gap
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/patient/HyperparameterTuned/pareto_AUROC_slope/auroc_max,0,,345,2026-05-22T17:37:48,2026-05-22T17:43:33,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/patient/HyperparameterTuned/pareto_AUROC_slope/knee,0,,10,2026-05-22T17:43:33,2026-05-22T17:43:43,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/patient/HyperparameterTuned/pareto_AUROC_slope/slope_closest,0,,9,2026-05-22T17:43:43,2026-05-22T17:43:52,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/patient/HyperparameterTuned/single_AUROC/HP020,0,,326,2026-05-22T17:43:52,2026-05-22T17:49:18,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/patient/HyperparameterTuned/single_AUROC/HP050,0,,9,2026-05-22T17:49:19,2026-05-22T17:49:28,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/patient/HyperparameterTuned/single_AUROC/HP100,0,,9,2026-05-22T17:49:28,2026-05-22T17:49:37,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/patient/HyperparameterTuned/single_AUROC/HP200,0,,8,2026-05-22T17:49:37,2026-05-22T17:49:45,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/patient/HyperparameterTuned/single_AUROC/HP500,0,,9,2026-05-22T17:49:46,2026-05-22T17:49:55,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/patient/NonHP,0,,9,2026-05-22T14:56:57,2026-05-22T14:57:06,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/stratified/HyperparameterTuned/pareto_AUROC_slope/auroc_max,0,,9756,2026-05-15T16:22:28,2026-05-15T19:05:04,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/stratified/HyperparameterTuned/pareto_AUROC_slope/knee,0,,9434,2026-05-15T16:27:57,2026-05-15T19:05:11,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/stratified/HyperparameterTuned/pareto_AUROC_slope/slope_closest,0,,9438,2026-05-15T16:28:00,2026-05-15T19:05:18,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/stratified/HyperparameterTuned/single_AUROC/HP020,0,,9444,2026-05-15T16:28:02,2026-05-15T19:05:26,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/stratified/HyperparameterTuned/single_AUROC/HP050,0,,9118,2026-05-15T16:33:34,2026-05-15T19:05:32,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/stratified/HyperparameterTuned/single_AUROC/HP100,0,,9124,2026-05-15T16:33:36,2026-05-15T19:05:40,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/stratified/HyperparameterTuned/single_AUROC/HP200,0,,1046524,2026-05-15T16:33:38,2026-05-27T19:15:42,1,4,True,multi_day_gap
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/stratified/HyperparameterTuned/single_AUROC/HP500,0,,9133,2026-05-15T16:33:41,2026-05-15T19:05:54,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/stratified/NonHP,0,,860127,2026-05-13T00:07:28,2026-05-22T23:02:55,3,8,True,multi_day_gap
0/headache/full_features/stacked_2xgb_meta_lr/70_30/chrono/HyperparameterTuned/pareto_AUROC_slope/auroc_max,0,,10828,2026-05-15T16:33:45,2026-05-15T19:34:13,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_30/chrono/HyperparameterTuned/pareto_AUROC_slope/knee,0,,10495,2026-05-15T16:39:18,2026-05-15T19:34:13,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_30/chrono/HyperparameterTuned/pareto_AUROC_slope/slope_closest,0,,10490,2026-05-15T16:39:21,2026-05-15T19:34:11,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_30/chrono/HyperparameterTuned/single_AUROC/HP020,0,,1045456,2026-05-15T16:39:24,2026-05-27T19:03:40,1,5,True,multi_day_gap
0/headache/full_features/stacked_2xgb_meta_lr/70_30/chrono/HyperparameterTuned/single_AUROC/HP050,0,,10156,2026-05-15T16:44:57,2026-05-15T19:34:13,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_30/chrono/HyperparameterTuned/single_AUROC/HP100,0,,10154,2026-05-15T16:45:00,2026-05-15T19:34:14,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_30/chrono/HyperparameterTuned/single_AUROC/HP200,0,,10152,2026-05-15T16:45:02,2026-05-15T19:34:14,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_30/chrono/HyperparameterTuned/single_AUROC/HP500,0,,10148,2026-05-15T16:45:05,2026-05-15T19:34:13,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_30/chrono/NonHP,0,,242840,2026-05-13T00:07:30,2026-05-15T19:34:50,3,7,True,multi_day_gap
0/headache/full_features/stacked_2xgb_meta_lr/70_30/patient/HyperparameterTuned/pareto_AUROC_slope/auroc_max,0,,313,2026-05-22T17:49:55,2026-05-22T17:55:08,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_30/patient/HyperparameterTuned/pareto_AUROC_slope/knee,0,,9,2026-05-22T17:55:09,2026-05-22T17:55:18,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_30/patient/HyperparameterTuned/pareto_AUROC_slope/slope_closest,0,,10,2026-05-22T17:55:19,2026-05-22T17:55:29,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_30/patient/HyperparameterTuned/single_AUROC/HP020,0,,323,2026-05-22T17:55:29,2026-05-22T18:00:52,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_30/patient/HyperparameterTuned/single_AUROC/HP050,0,,10,2026-05-22T18:00:53,2026-05-22T18:01:03,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_30/patient/HyperparameterTuned/single_AUROC/HP100,0,,10,2026-05-22T18:01:04,2026-05-22T18:01:14,1,1,False,
