leaf_path,addition,header_duration_s,autogluon_runtime_s,span_s,training_log_basename,generated_ts,finished_ts,earliest_training_ts,latest_results_ts,n_training_logs,n_results_files,multi_day_gap,notes
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/HyperparameterTuned/pareto_AUROC_slope/auroc_max,0,336,,10519,training_20260515_161104_252_0b93e25a-811a-41be-8ff5-b1dc87a53f7c.txt,2026-05-15T16:11:04,2026-05-15T16:16:40,2026-05-15T16:08:40,2026-05-15T19:03:59,2,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/HyperparameterTuned/pareto_AUROC_slope/knee,0,1,,10045,training_20260515_161642_087_d3d0df37-bd47-44a5-ba84-41a5ecff3706.txt,2026-05-15T16:16:42,2026-05-15T16:16:43,2026-05-15T16:16:42,2026-05-15T19:04:07,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/HyperparameterTuned/pareto_AUROC_slope/slope_closest,0,2,,10050,training_20260515_161644_509_09083ccd-6401-419d-8c35-c3fb8f62db47.txt,2026-05-15T16:16:44,2026-05-15T16:16:46,2026-05-15T16:16:44,2026-05-15T19:04:14,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/HyperparameterTuned/single_AUROC/HP020,0,329,,11955,training_20260515_161646_948_9e0c4ee8-7dba-45b0-a1a0-f4852397a204.txt,2026-05-15T16:16:46,2026-05-15T16:22:15,2026-05-15T15:45:07,2026-05-15T19:04:22,2,2,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/HyperparameterTuned/single_AUROC/HP050,0,1,,9733,training_20260515_162216_179_f1ccd0d4-8c19-4854-b58b-f3340ef78823.txt,2026-05-15T16:22:16,2026-05-15T16:22:17,2026-05-15T16:22:16,2026-05-15T19:04:29,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/HyperparameterTuned/single_AUROC/HP100,0,2,,9738,training_20260515_162218_752_a4c366c5-3fb9-4be3-9f81-dd77cdfb4cac.txt,2026-05-15T16:22:18,2026-05-15T16:22:20,2026-05-15T16:22:18,2026-05-15T19:04:36,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/HyperparameterTuned/single_AUROC/HP200,0,1,,9742,training_20260515_162221_082_8fbf3d39-de25-4f5b-b03f-d897c1076a29.txt,2026-05-15T16:22:21,2026-05-15T16:22:22,2026-05-15T16:22:21,2026-05-15T19:04:43,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/HyperparameterTuned/single_AUROC/HP500,0,2,,9747,training_20260515_162223_451_06963fd8-6ab8-42d1-b666-a034fecc2778.txt,2026-05-15T16:22:23,2026-05-15T16:22:25,2026-05-15T16:22:23,2026-05-15T19:04:50,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/NonHP,0,1,,860109,training_20260515_162226_037_4adddf93-9b88-4a13-b775-6e9ee57c7738.txt,2026-05-15T16:22:26,2026-05-15T16:22:27,2026-05-13T00:07:25,2026-05-22T23:02:34,7,24,True,header-precise;multi_day_gap
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/patient/HyperparameterTuned/pareto_AUROC_slope/auroc_max,0,338,,345,training_20260522_173748_577_8aded700-6c5f-4111-8c31-aecba43bcd38.txt,2026-05-22T17:37:48,2026-05-22T17:43:26,2026-05-22T17:37:48,2026-05-22T17:43:33,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/patient/HyperparameterTuned/pareto_AUROC_slope/knee,0,2,,10,training_20260522_174333_752_15673f44-f726-4214-b2eb-d9f016ce70d1.txt,2026-05-22T17:43:33,2026-05-22T17:43:35,2026-05-22T17:43:33,2026-05-22T17:43:43,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/patient/HyperparameterTuned/pareto_AUROC_slope/slope_closest,0,2,,9,training_20260522_174343_669_b2fcd8a8-91ac-4158-ad8b-e34d9a9ad5f5.txt,2026-05-22T17:43:43,2026-05-22T17:43:45,2026-05-22T17:43:43,2026-05-22T17:43:52,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/patient/HyperparameterTuned/single_AUROC/HP020,0,319,,326,training_20260522_174352_866_4e19c870-ff43-4af5-b385-6d966562c78b.txt,2026-05-22T17:43:52,2026-05-22T17:49:11,2026-05-22T17:43:52,2026-05-22T17:49:18,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/patient/HyperparameterTuned/single_AUROC/HP050,0,2,,9,training_20260522_174919_513_a2108297-d4d2-45de-861f-ca22667617c8.txt,2026-05-22T17:49:19,2026-05-22T17:49:21,2026-05-22T17:49:19,2026-05-22T17:49:28,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/patient/HyperparameterTuned/single_AUROC/HP100,0,2,,9,training_20260522_174928_804_258422cf-fdf5-4c35-8332-d9361fb21ca9.txt,2026-05-22T17:49:28,2026-05-22T17:49:30,2026-05-22T17:49:28,2026-05-22T17:49:37,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/patient/HyperparameterTuned/single_AUROC/HP200,0,2,,8,training_20260522_174937_638_fc20bc38-b570-4d39-aa59-63909b9eb867.txt,2026-05-22T17:49:37,2026-05-22T17:49:39,2026-05-22T17:49:37,2026-05-22T17:49:45,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/patient/HyperparameterTuned/single_AUROC/HP500,0,2,,9,training_20260522_174946_496_1b86c95e-b8fe-4eb7-977e-fe9258de12d4.txt,2026-05-22T17:49:46,2026-05-22T17:49:48,2026-05-22T17:49:46,2026-05-22T17:49:55,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/patient/NonHP,0,1,,9,training_20260522_145657_066_a35b7969-c366-4817-8743-88b4fe07498a.txt,2026-05-22T14:56:57,2026-05-22T14:56:58,2026-05-22T14:56:57,2026-05-22T14:57:06,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/stratified/HyperparameterTuned/pareto_AUROC_slope/auroc_max,0,328,,9756,training_20260515_162228_408_16f91fec-8017-4fdc-9110-18246135ec29.txt,2026-05-15T16:22:28,2026-05-15T16:27:56,2026-05-15T16:22:28,2026-05-15T19:05:04,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/stratified/HyperparameterTuned/pareto_AUROC_slope/knee,0,2,,9434,training_20260515_162757_793_0abd13d1-6dbd-42cd-8891-f173e7b5d80d.txt,2026-05-15T16:27:57,2026-05-15T16:27:59,2026-05-15T16:27:57,2026-05-15T19:05:11,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/stratified/HyperparameterTuned/pareto_AUROC_slope/slope_closest,0,1,,9438,training_20260515_162800_083_a2150006-46ff-4485-9cb4-f55fb3bb7c41.txt,2026-05-15T16:28:00,2026-05-15T16:28:01,2026-05-15T16:28:00,2026-05-15T19:05:18,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/stratified/HyperparameterTuned/single_AUROC/HP020,0,330,,9444,training_20260515_162802_300_8a69de42-d08d-4fa2-a139-4e641a1ded75.txt,2026-05-15T16:28:02,2026-05-15T16:33:32,2026-05-15T16:28:02,2026-05-15T19:05:26,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/stratified/HyperparameterTuned/single_AUROC/HP050,0,1,,9118,training_20260515_163334_097_a0552541-48fb-40ae-8eee-5ee91cd7b5c4.txt,2026-05-15T16:33:34,2026-05-15T16:33:35,2026-05-15T16:33:34,2026-05-15T19:05:32,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/stratified/HyperparameterTuned/single_AUROC/HP100,0,2,,9124,training_20260515_163336_413_5966e56b-0fe9-41c3-bc93-0f01ac87ec06.txt,2026-05-15T16:33:36,2026-05-15T16:33:38,2026-05-15T16:33:36,2026-05-15T19:05:40,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/stratified/HyperparameterTuned/single_AUROC/HP200,0,2,,1046524,training_20260515_163338_861_4f6964a1-955a-41b1-8a16-fb79cd397190.txt,2026-05-15T16:33:38,2026-05-15T16:33:40,2026-05-15T16:33:38,2026-05-27T19:15:42,1,4,True,header-precise;multi_day_gap
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/stratified/HyperparameterTuned/single_AUROC/HP500,0,1,,9133,training_20260515_163341_068_015b558b-3591-4a94-9e58-931b09cf9bd3.txt,2026-05-15T16:33:41,2026-05-15T16:33:42,2026-05-15T16:33:41,2026-05-15T19:05:54,1,1,False,header-precise
0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/stratified/NonHP,0,1,,860127,training_20260515_163343_506_bfb1e02e-fec5-42ac-8c12-1b2670968773.txt,2026-05-15T16:33:43,2026-05-15T16:33:44,2026-05-13T00:07:28,2026-05-22T23:02:55,3,8,True,header-precise;multi_day_gap
0/headache/full_features/stacked_2xgb_meta_lr/70_30/chrono/HyperparameterTuned/pareto_AUROC_slope/auroc_max,0,332,,10828,training_20260515_163345_768_524beab8-0aab-4f62-9728-eb5568299b50.txt,2026-05-15T16:33:45,2026-05-15T16:39:17,2026-05-15T16:33:45,2026-05-15T19:34:13,1,1,False,header-precise
